arab	engl	desc	info	phon	line
ﻀﺤﻭﺓ	late morning	n	NA	ḍaḥwa	ḍaḥwa ‫ ﻀﺤﻭﺓ‬n late morning
ﻀﺠﻴﺞ	loud noise, din, hubbub	n	NA	ḍajiij	ḍajiij ‫ ﻀﺠﻴﺞ‬n loud noise, din, hubbub
ﺔ ﻀﺠ	loud noise, din, hubbub	n	NA	ḍajja	ḍajja ‫ﺔ‬‫ ﻀﺠ‬n loud noise, din, hubbub
 ﻀﺞ	to be noisy, make a din, hubbub	v	i, ḍajj, ḍajja, ḍajiij	ḍajja 	ḍajja ‫ ﻀﺞ‬v (i, ḍajj, ḍajja, ḍajiij) to be noisy, make a din, hubbub
ﻀﻜﺭ	male	n	NA	ḍakar	ḍakar ‫ ﻀﻜﺭ‬n (pl ḍukuur) 1 male 2 penis
ﻀﻜﺭ	penis	n	NA	ḍakar	ḍakar ‫ ﻀﻜﺭ‬n (pl ḍukuur) 1 male 2 penis
ﺔ ﻀﻜﺭﻴ	woman behaving like a man	adj f	NA	ḍakariyya	ḍakariyya ‫ﺔ‬‫ ﻀﻜﺭﻴ‬adj f 1 woman behaving like a man 2 lesbian
ﺔ ﻀﻜﺭﻴ	lesbian	adj f	NA	ḍakariyya	ḍakariyya ‫ﺔ‬‫ ﻀﻜﺭﻴ‬adj f 1 woman behaving like a man 2 lesbian
ﻀﻜﺭﺍﻥ	courageous and trustworthy	adj	NA	ḍakraan	ḍakraan ‫ ﻀﻜﺭﺍﻥ‬adj courageous and trustworthy
ﻀﺨﻡ	big, huge	adj	NA	ḍakham	ḍakham ‫ ﻀﺨﻡ‬adj big, huge
ﻀﺦﹼ	to pump	vt	u, ḍakhkh	ḍakhkha	ḍakhkha ‫ ﻀﺦﹼ‬vt (u, ḍakhkh) to pump
ﻀﻠﻌﺔ	rib	n	pl ḍuluuʿ	ḍalʿa	ḍalʿa ‫ ﻀﻠﻌﺔ‬n (pl ḍuluuʿ) rib
ﻀﻼﻡ	darkness	n	NA	ḍalaam	ḍalaam ‫ ﻀﻼﻡ‬n darkness
ﻀﻠﻔﺔ	leaf (of a door, window)	n	pl ḍilaf	ḍalfa	ḍalfa ‫ ﻀﻠﻔﺔ‬n (pl ḍilaf) leaf (of a door, window)
ّ ﻀل	to go astray, lose one's way	vi	i, ḍall, ḍalalaan	ḍalla ّ	ḍalla ّ‫ ﻀل‬vi (i, ḍall, ḍalalaan) to go astray, lose one's way
ﻀﻠﹼل	to deceive, cheat	vt	ḍilleel	ḍallal	ḍallal ‫ ﻀﻠﹼل‬vt (ḍilleel) to deceive, cheat
ﻀﻠﹼﻡ	to become dark; washsh-o ḍallam his face fell	vi	ḍilleem, ḍalaam	ḍallam	ḍallam ‫ ﻀﻠﹼﻡ‬vi (ḍilleem, ḍalaam) to become dark; washsh-o ḍallam his face fell
ﻀﻠﻤﺔ	darkness	n	NA	ḍalma	ḍalma ‫ ﻀﻠﻤﺔ‬n darkness • adj invar dark
ﻀﻠﻤﺔ	invar dark	adj	NA	ḍalma	ḍalma ‫ ﻀﻠﻤﺔ‬n darkness • adj invar dark
ﻀﻤﺎﻥ	guarantee, warranty; ḍamaan miyya fi l-miyya guaranteed hundred percent	n	NA	ḍamaan	ḍamaan ‫ ﻀﻤﺎﻥ‬n 1 guarantee, warranty; ḍamaan miyya fi l-miyya guaranteed hundred percent 2 bail
ﻀﻤﺎﻥ	bail	n	NA	ḍamaan	ḍamaan ‫ ﻀﻤﺎﻥ‬n 1 guarantee, warranty; ḍamaan miyya fi l-miyya guaranteed hundred percent 2 bail
ﻀﻤﺎﻨﺔ	guarantee, warranty	n	NA	ḍamaana	ḍamaana ‫ ﻀﻤﺎﻨﺔ‬n 1 guarantee, warranty 2 bail
ﻀﻤﺎﻨﺔ	bail	n	NA	ḍamaana	ḍamaana ‫ ﻀﻤﺎﻨﺔ‬n 1 guarantee, warranty 2 bail
ﻀﻤﻥ	to guarantee, vouch for	vt	NA	ḍaman	ḍaman ‫ ﻀﻤﻥ‬vt (a, ḍamaan, ḍamaana) 1 to guarantee, vouch for 2 to bail
ﻀﻤﻥ	to bail	vt	NA	ḍaman	ḍaman ‫ ﻀﻤﻥ‬vt (a, ḍamaan, ḍamaana) 1 to guarantee, vouch for 2 to bail
ﻀﻤﻴﺭ	conscience	n	pl ḍamaayiir	ḍamiir	ḍamiir ‫ ﻀﻤﻴﺭ‬n (pl ḍamaayiir) conscience
 ﻀﻡ	to include	vt	NA	ḍamma 	ḍamma ‫ ﻀﻡ‬vt (u, ḍamm) 1 to include 2 (le-/ila) to attach (to); to cause to join; ḍammoo-ho le-l-faṣil they accommodated him in the class
 ﻀﻡ	to attach (to); to cause to join; ḍammoo-ho le-l-faṣil they accommodated him in the class	vt	NA	ḍamma 	ḍamma ‫ ﻀﻡ‬vt (u, ḍamm) 1 to include 2 (le-/ila) to attach (to); to cause to join; ḍammoo-ho le-l-faṣil they accommodated him in the class
ﻀﻨﺏ	tail	n	pl ḍunuub, ḍunubba	ḍanab	ḍanab ‫ ﻀﻨﺏ‬n (pl ḍunuub, ḍunubba) tail
ﻀﺭﺏ	to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone	vt	NA	ḍarab	ḍarab ‫ ﻀﺭﺏ‬vt (a, ḍarib) 1 to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone 2 (arith) to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty • vi 1 to ring; aj-jaras biḍrab the bell is ringing 2 to throb (heart) 3 ʿala to play a musical instrument
ﻀﺭﺏ	to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty	vt	NA	ḍarab	ḍarab ‫ ﻀﺭﺏ‬vt (a, ḍarib) 1 to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone 2 (arith) to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty • vi 1 to ring; aj-jaras biḍrab the bell is ringing 2 to throb (heart) 3 ʿala to play a musical instrument
ﻀﺭﺏ	to ring; aj-jaras biḍrab the bell is ringing	vi	NA	ḍarab	ḍarab ‫ ﻀﺭﺏ‬vt (a, ḍarib) 1 to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone 2 (arith) to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty • vi 1 to ring; aj-jaras biḍrab the bell is ringing 2 to throb (heart) 3 ʿala to play a musical instrument
ﻀﺭﺏ	to throb (heart)	vi	NA	ḍarab	ḍarab ‫ ﻀﺭﺏ‬vt (a, ḍarib) 1 to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone 2 (arith) to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty • vi 1 to ring; aj-jaras biḍrab the bell is ringing 2 to throb (heart) 3 ʿala to play a musical instrument
ﻀﺭﺏ	ʿala to play a musical instrument	vi	NA	ḍarab	ḍarab ‫ ﻀﺭﺏ‬vt (a, ḍarib) 1 to hit, beat, knock, strike; ḍarab buuhya to paint; ḍarab be-j-jiir to whitewash; ḍarab fuul to eat fuul; ḍarab ḥaaja baarda to drink a soft drink; ḍarab-o kaff he smacked him; ḍarab naar to shoot; ḍarab orneesh to polish; ḍarab be-r- raṣṣaaṣ to shoot; ḍarab raqam to dial; ḍarab talafoon to telephone 2 (arith) to multiply; ḍarb khamsa fi sitta yisaawi talaatiin five times six equals thirty • vi 1 to ring; aj-jaras biḍrab the bell is ringing 2 to throb (heart) 3 ʿala to play a musical instrument
ﻀﺭﺭ	damage; fii-ho ḍarar damaged	n	pl aḍraar	ḍarar	ḍarar ‫ ﻀﺭﺭ‬n (pl aḍraar) damage; fii-ho ḍarar damaged
ﻀﺭﺒﺔ	blow, stroke; kick, shot; ḍarba be-n-naar shot; ḍarba ḥurra a free kick; ḍarba rukniyya a corner (football); ḍarbat shamis sunstroke	n	NA	ḍarba	ḍarba ‫ ﻀﺭﺒﺔ‬n blow, stroke; kick, shot; ḍarba be-n-naar shot; ḍarba ḥurra a free kick; ḍarba rukniyya a corner (football); ḍarbat shamis sunstroke
ﻀﺭﻴﺒﺔ	tax; ḍariibat aj-jamaarik customs duty	n	pl ḍaraayib	ḍariiba	ḍariiba ‫ ﻀﺭﻴﺒﺔ‬n (pl ḍaraayib) tax; ḍariibat aj-jamaarik customs duty
ﻀﺭﻴﺢ	saint's tomb	n	pl ḍaraayiḥ, aḍriḥa	ḍariiḥ	ḍariiḥ ‫ ﻀﺭﻴﺢ‬n (pl ḍaraayiḥ, aḍriḥa) saint's tomb
ﻀﺭﻴﺭ	blind	adj	NA	ḍariir	ḍariir ‫ ﻀﺭﻴﺭ‬adj blind
ﻀﺭ	a species of small ant(s)	coll n	NA	ḍarr	ḍarr ‫ ﻀﺭ‬coll n a species of small ant(s)
 ﻀﺭ	to harm, damage	vt	u, ḍarra	ḍarra 	ḍarra ‫ ﻀﺭ‬vt (u, ḍarra) to harm, damage
ﺓ ﻀﺭ	co-wife	n	NA	ḍarra	ḍarra ‫ﺓ‬‫ ﻀﺭ‬n co-wife
ﻯ ﻀﺭ	to winnow	vt	-i, ḍirreey	ḍarra	ḍarra ‫ﻯ‬‫ ﻀﺭ‬vt (-i, ḍirreey) to winnow
ﻉ ﻀﺭ	to measure (e.g. cloth)	vt	ḍirreeʿ, taḍriiʿ	ḍarraʿ	ḍarraʿ ‫ﻉ‬‫ ﻀﺭ‬vt (ḍirreeʿ, taḍriiʿ) to measure (e.g. cloth)
ﺍﻴﺔ ﻀﺭ	winnowing-fork	n	NA	ḍarraaya	ḍarraaya ‫ﺍﻴﺔ‬‫ ﻀﺭ‬n winnowing-fork
ﺏ ﻀﺭ	(arith) to multiply	vt	ḍirreeb, taḍriib	ḍarrab	ḍarrab ‫ﺏ‬‫ ﻀﺭ‬vt (ḍirreeb, taḍriib) (arith) to multiply
ﻀﺭﻭﺭﺓ	necessity	n	NA	ḍaruura	ḍaruura ‫ ﻀﺭﻭﺭﺓ‬n necessity
ﻀﺭﻭﺭﻱ	necessary	adj	NA	ḍaruuri	ḍaruuri ‫ ﻀﺭﻭﺭﻱ‬adj necessary
ﺎ ﺕ ﻀﺭﻭﺭﻴ	pl necessities	n	NA	ḍaruuriyyaat	ḍaruuriyyaat ‫ﺎ ﺕ‬‫ ﻀﺭﻭﺭﻴ‬n pl necessities
ﻀﻭ	light; ʿala ḍaw in the light of	n	pl aḍwaa	ḍaw	ḍaw ‫ ﻀﻭ‬n (pl aḍwaa) light; ʿala ḍaw in the light of
ﻀﻭﺍﺤﻲ	pl surroundings; ḍawaaḥi l-madiina suburbs	n	NA	ḍawaaḥi	ḍawaaḥi ‫ ﻀﻭﺍﺤﻲ‬n pl surroundings; ḍawaaḥi l-madiina suburbs
ﻯ ﻀﻭ	to give light	vi	NA	ḍawwa	ḍawwa ‫ﻯ‬‫ ﻀﻭ‬(-i, ḍiwweey) vi to give light • vt illuminate, give light to
ﻯ ﻀﻭ	illuminate, give light to	vt	NA	ḍawwa	ḍawwa ‫ﻯ‬‫ ﻀﻭ‬(-i, ḍiwweey) vi to give light • vt illuminate, give light to
ﻕ ﻀﻭ	to let s.o. taste sth.	vt	ḍiwweeg	ḍawwag	ḍawwag ‫ﻕ‬‫ ﻀﻭ‬vt (ḍiwweeg) to let s.o. taste sth.
ﻀﻴﺎﻉ	loss, waste	n	NA	ḍayaaʿ	ḍayaaʿ ‫ ﻀﻴﺎﻉ‬n loss, waste
ﻊ ﻀﻴ	to lose	vt	ḍiyyeeʿ, ḍeeʿa	ḍayyaʿ	ḍayyaʿ ‫ﻊ‬‫ ﻀﻴ‬vt (ḍiyyeeʿ, ḍeeʿa) to lose
ﻕ ﻀﻴ	to narrow (down)	vt	taḍyiig	ḍayyag	ḍayyag ‫ﻕ‬‫ ﻀﻴ‬vt (taḍyiig) to narrow (down)
ﻕ ﻀﻴ	tight; narrow	adj	NA	ḍayyig	ḍayyig ‫ﻕ‬‫ ﻀﻴ‬adj tight; narrow
ﻀﻴﻑ	guest, visitor	n	pl ḍiyuuf	ḍeef	ḍeef ‫ ﻀﻴﻑ‬n (pl ḍiyuuf) guest, visitor
ﻀﻌﻑ	to become thin	vi	NA	ḍiʿif	ḍiʿif ‫ ﻀﻌﻑ‬vi (a, ḍuʿuf) 1 to become thin 2 to become feeble, weak
ﻀﻌﻑ	to become feeble, weak	vi	NA	ḍiʿif	ḍiʿif ‫ ﻀﻌﻑ‬vi (a, ḍuʿuf) 1 to become thin 2 to become feeble, weak
ﻀﺩ	against	prep	NA	ḍidd	ḍidd ‫ ﻀﺩ‬prep against
ﻀﻔﹼﺔ	riverbank	n	pl ḍifaaf	ḍiffa	ḍiffa ‫ ﻀﻔﹼﺔ‬n (pl ḍifaaf) riverbank
ﻀﻬﺏ	to go astray, lose one's way	vi	a, ḍahab, ḍahabaan	ḍihib	ḍihib ‫ ﻀﻬﺏ‬vi (a, ḍahab, ḍahabaan) to go astray, lose one's way
ﻀﺤﻙ	(ʿala) to laugh (at); to giggle	vi	NA	ḍiḥik	ḍiḥik ‫ ﻀﺤﻙ‬vi 1 (a, ḍaḥik, ḍaḥka) (ʿala) to laugh (at); to giggle 2 (a, ḍaḥik) ʿala to deceive, cheat
ﻀﺤﻙ	ʿala to deceive, cheat	vi	NA	ḍiḥik	ḍiḥik ‫ ﻀﺤﻙ‬vi 1 (a, ḍaḥik, ḍaḥka) (ʿala) to laugh (at); to giggle 2 (a, ḍaḥik) ʿala to deceive, cheat
ﻀﻴﻕ	narrowness; ḍiig an-nafas breathlessness	n	NA	ḍiig	ḍiig ‫ ﻀﻴﻕ‬n 1 narrowness; ḍiig an-nafas breathlessness 2 anxiety, distress
ﻀﻴﻕ	anxiety, distress	n	NA	ḍiig	ḍiig ‫ ﻀﻴﻕ‬n 1 narrowness; ḍiig an-nafas breathlessness 2 anxiety, distress
ﻀﺭﻉ	udder	n	pl ḍuruuʿ	ḍiriʿ	ḍiriʿ ‫ ﻀﺭﻉ‬n (pl ḍuruuʿ) udder
ﻀﺭﺱ	molar tooth; ḍirs al-ʿagul wisdom tooth	n	pl ḍuruus, aḍraas	ḍiris	ḍiris ‫ ﻀﺭﺱ‬n (pl ḍuruus, aḍraas) molar tooth; ḍirs al-ʿagul wisdom tooth
ﻀﻴﺎﻓﺔ	hospitality	n	NA	ḍiyaafa	ḍiyaafa ‫ ﻀﻴﺎﻓﺔ‬n hospitality
ﻀﻌﻑ	weakness	n	NA	ḍuʿuf	ḍuʿuf ‫ ﻀﻌﻑ‬n weakness
ﺎﻥ ﻀﺒ	flies; ḍubbaan al- ḥamiir horse flies	coll n	NA	ḍubbaan	ḍubbaan ‫ﺎﻥ‬‫ ﻀﺒ‬coll n flies; ḍubbaan al- ḥamiir horse flies
ﻀﻔﺭﺓ	dried cartilaginous remains of shellfish (a basic ingredient for a kind of home-made perfume)	n	NA	ḍufra	ḍufra ‫ ﻀﻔﺭﺓ‬n dried cartilaginous remains of shellfish (a basic ingredient for a kind of home-made perfume)
ﻀﻔﺭ	finger-nail, toe-nail	n	pl aḍaafir, aḍaafreen	ḍufur	ḍufur ‫ ﻀﻔﺭ‬n (pl aḍaafir, aḍaafreen) finger-nail, toe-nail
ﻀﻬﺭ	midday; noon baʿd aḍ- ḍuhur afternoon	n	NA	ḍuhur	ḍuhur ‫ ﻀﻬﺭ‬n midday; noon baʿd aḍ- ḍuhur afternoon
ﻀﺤﺎ	late morning	n	NA	ḍuḥa	ḍuḥa ‫ ﻀﺤﺎ‬n late morning
ﻀﻼﻑ	abu ḍulaaf anteater	n	NA	ḍulaaf	ḍulaaf ‫ ﻀﻼﻑ‬n abu ḍulaaf anteater
ﻀل	shadow, shade	n	pl ḍalala	ḍull	ḍull ‫ ﻀل‬n (pl ḍalala) shadow, shade
ﻀﻼﻟﺔ	makeshift sun shelter	n	NA	ḍullaala	ḍullaala ‫ ﻀﻼﻟﺔ‬n makeshift sun shelter
ﻀﻠﻑ	hoof	n	pl ḍalafeen, ḍuluuf	ḍuluf	ḍuluf ‫ ﻀﻠﻑ‬n (pl ḍalafeen, ḍuluuf) hoof
ﺔ ﻀﻠﻤ	darkness	n	NA	ḍulumma	ḍulumma ‫ﺔ‬‫ ﻀﻠﻤ‬n darkness • adj invar dark; al-waaṭa ḍulumma it's dark
ﺔ ﻀﻠﻤ	invar dark; al-waaṭa ḍulumma it's dark	adj	NA	ḍulumma	ḍulumma ‫ﺔ‬‫ ﻀﻠﻤ‬n darkness • adj invar dark; al-waaṭa ḍulumma it's dark
ﻀﻤﻨﺔ	dominoes	n	NA	ḍumana	ḍumana ‫ ﻀﻤﻨﺔ‬n dominoes
ﻀﺭﺍﻉ	arm	n	pl -aat	ḍuraaʿ	ḍuraaʿ ‫ ﻀﺭﺍﻉ‬n (pl -aat) arm
ﻀﺭﺱ	molar tooth; ḍurs al-ʿagul wisdom tooth	n	pl ḍuruus, aḍraas	ḍurus	ḍurus ‫ ﻀﺭﺱ‬n (pl ḍuruus, aḍraas) molar tooth; ḍurs al-ʿagul wisdom tooth
ﺍﻴﻪ	what	interrog	NA	eeh	eeh ‫ ﺍﻴﻪ‬interrog what
اﻴﺭﻗﺎﻥ	hepatitis, jaundice	n	NA	eeraqaan	eeraqaan ‫ اﻴﺭﻗﺎﻥ‬n hepatitis, jaundice
ﻓﺎ ﺩ	to be useful	vt	i, faayda	faad	faad ‫ ﻓﺎ ﺩ‬vt (i, faayda) to be useful
ﻓﺎﺽ	to flood, overflow (e.g. of a river); faaḍ bee-y min-na-ha I am fed up with her	vi	i, fayaḍaan	faaḍ	faaḍ ‫ ﻓﺎﺽ‬vi (i, fayaḍaan) to flood, overflow (e.g. of a river); faaḍ bee-y min-na-ha I am fed up with her
ﻓﺎﻀﻲ	empty; blank; free, vacant, unoccupied, available	adj	pl -yyiin	faaḍi	faaḍi ‫ ﻓﺎﻀﻲ‬adj (pl -yyiin) empty; blank; free, vacant, unoccupied, available
ﻓﺎﻀل	remaining; faaḍil lee-y nuṣṣ as-saaʿa I have half an hour left	adj	NA	faaḍil	faaḍil ‫ ﻓﺎﻀل‬adj remaining; faaḍil lee-y nuṣṣ as-saaʿa I have half an hour left
ﻓﺎﻀل	good-hearted, generous	adj	NA	faaḍil	faaḍil ‫ ﻓﺎﻀل‬adj good-hearted, generous
ﻓﺎﻕ	to return to consciousness; to sober up	vi	u, fooga	faag	faag ‫ ﻓﺎﻕ‬vi (u, fooga) to return to consciousness; to sober up
ﻓﺎﺤﺵ	using obscene language	adj	NA	faaḥish	faaḥish ‫ ﻓﺎﺤﺵ‬adj using obscene language
ﻓﺎﺠﺎ	to surprise; to take by surprise	vt	mufaajaꞌa	faajaꞌ	faajaꞌ ‫ ﻓﺎﺠﺎ‬vt (mufaajaꞌa) to surprise; to take by surprise
ﻓﺎﺠﺭ	immoral	adj	NA	faajir	faajir ‫ ﻓﺎﺠﺭ‬adj immoral
ﻓﺎﻜﺭ	to hold a consultation	vi	mufaakara	faakar	faakar ‫ ﻓﺎﻜﺭ‬vi (mufaakara) to hold a consultation
ﻓﺎﻜﺱ	fax	n	pl -aat	faaks	faaks ‫ ﻓﺎﻜﺱ‬n (pl -aat) fax
ﻓﺎﻜﻬﺔ	a fruit	n	pl fawaakih	faakha	faakha ‫ ﻓﺎﻜﻬﺔ‬n (pl fawaakih) a fruit
ﻓﺎﺨﺭ	luxurious	adj	NA	faakhir	faakhir ‫ ﻓﺎﺨﺭ‬adj luxurious
ﻓﺎل	good omen	n	NA	faal	faal ‫ ﻓﺎل‬n 1 good omen 2 hope; faal Allah wa-la faal-ak rest your hope on God
ﻓﺎل	hope; faal Allah wa-la faal-ak rest your hope on God	n	NA	faal	faal ‫ ﻓﺎل‬n 1 good omen 2 hope; faal Allah wa-la faal-ak rest your hope on God
ﻓﺎﻟﺢ	good, honest, sensible, clever; ya faaliḥ you're a good boy, you're a clever boy!	adj	NA	faaliḥ	faaliḥ ‫ ﻓﺎﻟﺢ‬adj 1 (of children) good, honest, sensible, clever; ya faaliḥ you're a good boy, you're a clever boy! 2 (of adults) successful
ﻓﺎﻟﺢ	successful	adj	NA	faaliḥ	faaliḥ ‫ ﻓﺎﻟﺢ‬adj 1 (of children) good, honest, sensible, clever; ya faaliḥ you're a good boy, you're a clever boy! 2 (of adults) successful
faalso ﻓﺎﻟﺴﻭ	invar fake	adj	NA	faalso	faalso‫ ﻓﺎﻟﺴﻭ‬adj invar fake
ﻓﺎﻨﻭﺱ	lantern, paraffin lamp, oil lamp	n	pl fawaaniis	faanuus	faanuus ‫ ﻓﺎﻨﻭﺱ‬n (pl fawaaniis) lantern, paraffin lamp, oil lamp
ﻓﺎﺭ	to rise (of dough)	vi	NA	faar	faar ‫ ﻓﺎﺭ‬vi (u, foora, fawaraan) 1 to rise (of dough) 2 to boil
ﻓﺎﺭ	to boil	vi	NA	faar	faar ‫ ﻓﺎﺭ‬vi (u, foora, fawaraan) 1 to rise (of dough) 2 to boil
ﻓﺎﺭ	(male) rat; mouse; faar tajaarib 'guinea pig', an animal being used for an experiment	n	pl fiiraan	faar	faar ‫ ﻓﺎﺭ‬n (pl fiiraan) (male) rat; mouse; faar tajaarib 'guinea pig', an animal being used for an experiment
ﻓﺎﺭﺓ	rat; mouse; da faara daagis (slang) that is a gullible person	n	NA	faara	faara ‫ ﻓﺎﺭﺓ‬n 1 (female) rat; mouse; da faara daagis (slang) that is a gullible person 2 calf (of leg)
ﻓﺎﺭﺓ	calf (of leg)	n	NA	faara	faara ‫ ﻓﺎﺭﺓ‬n 1 (female) rat; mouse; da faara daagis (slang) that is a gullible person 2 calf (of leg)
ﻓﺎﺭﺓ	plane (tool)	n	NA	faara	faara ‫ ﻓﺎﺭﺓ‬n plane (tool)
ﻓﺎﺭﺍﻴﺔ	mouse	n	NA	faaraaya	faaraaya ‫ ﻓﺎﺭﺍﻴﺔ‬n mouse
ﻓﺎﺭﻕ	to part	vi	furaag, mufaaraga	faarag	faarag ‫ ﻓﺎﺭﻕ‬vi (furaag, mufaaraga) to part
ﻓﺎﺭﻍ	empty; baṭn-o faargha it is hollow; kalaam faarigh nonsense	adj	NA	faarigh	faarigh ‫ ﻓﺎﺭﻍ‬adj empty; baṭn-o faargha it is hollow; kalaam faarigh nonsense
ﻓﺎﺭﺱ	horse-rider, knight; faaris aḥlaam-i the prince of my dreams	n	pl fursaan	faaris	faaris ‫ ﻓﺎﺭﺱ‬n (pl fursaan) horse-rider, knight; faaris aḥlaam-i the prince of my dreams
ﻓﺎﺱ	axe, hatchet	n	pl fuꞌuus	faas	faas ‫ ﻓﺎﺱ‬n (pl fuꞌuus) axe, hatchet
ﻓﺎﺴﺩ	corrupt (dishonest)	adj	NA	faasid	faasid ‫ ﻓﺎﺴﺩ‬adj corrupt (dishonest)
ﻓﺎﺼل	to haggle, bargain	vi	mufaaṣala, fiṣaal	faaṣal	faaṣal ‫ ﻓﺎﺼل‬vi (mufaaṣala, fiṣaal) to haggle, bargain
ﻓﺎﺼل	partition boundary	n	NA	faaṣil	faaṣil ‫ ﻓﺎﺼل‬n (pl fawaaṣil) 1 partition boundary 2 interval, interlude
ﻓﺎﺼل	interval, interlude	n	NA	faaṣil	faaṣil ‫ ﻓﺎﺼل‬n (pl fawaaṣil) 1 partition boundary 2 interval, interlude
ﻓﺎﺼﻭﻟﻴﺎ	beans; faaṣuulya khaḍra green beans, French beans; faaṣuulya beeḍa white beans	n	NA	faaṣuulya	faaṣuulya ‫ ﻓﺎﺼﻭﻟﻴﺎ‬n beans; faaṣuulya khaḍra green beans, French beans; faaṣuulya beeḍa white beans
ﻓﺎﺕ	to go; to leave; ash-shahar al-faat last month	vi	NA	faat	faat ‫ ﻓﺎﺕ‬(u, foota, fawataan) vi 1 to go; to leave; ash-shahar al-faat last month 2 ʿala to call in at, drop in on • vt to pass, overtake
ﻓﺎﺕ	ʿala to call in at, drop in on	vi	NA	faat	faat ‫ ﻓﺎﺕ‬(u, foota, fawataan) vi 1 to go; to leave; ash-shahar al-faat last month 2 ʿala to call in at, drop in on • vt to pass, overtake
ﻓﺎﺕ	to pass, overtake	vt	NA	faat	faat ‫ ﻓﺎﺕ‬(u, foota, fawataan) vi 1 to go; to leave; ash-shahar al-faat last month 2 ʿala to call in at, drop in on • vt to pass, overtake
ﻓﺎﺘﺤﺔ	al-faatḥa the opening suura or chapter of the Koran; gara l-faatḥa to recite the opening chapter of the Koran (e.g. to thank God; to conclude a wedding contract); shaal al-faatḥa to recite the opening chapter of the Koran (when offering condolences)	n	NA	faatḥa	faatḥa ‫ ﻓﺎﺘﺤﺔ‬n al-faatḥa the opening suura or chapter of the Koran; gara l-faatḥa to recite the opening chapter of the Koran (e.g. to thank God; to conclude a wedding contract); shaal al-faatḥa to recite the opening chapter of the Koran (when offering condolences)
ﻓﺎﺘﺢ	open	adj	NA	faatiḥ	faatiḥ ‫ ﻓﺎﺘﺢ‬adj 1 open 2 bright (of colour)
ﻓﺎﺘﺢ	bright (of colour)	adj	NA	faatiḥ	faatiḥ ‫ ﻓﺎﺘﺢ‬adj 1 open 2 bright (of colour)
ﻓﺎﺘﻴﺔ	bully	n	NA	faatiyya	faatiyya ‫ ﻓﺎﺘﻴﺔ‬n bully
ﻓﺎﺘﻨﺔ	attractive, charming	adj f	NA	faatna	faatna ‫ ﻓﺎﺘﻨﺔ‬adj f attractive, charming
ﻓﺎﺘﻭﺭﺓ	bill, invoice; faatuura mabdaꞌiyya pro forma invoice; quotation; faatuura nihaaꞌiyya final invoice	n	pl fawaatiir	faatuura	faatuura ‫ ﻓﺎﺘﻭﺭﺓ‬n (pl fawaatiir) bill, invoice; faatuura mabdaꞌiyya pro forma invoice; quotation; faatuura nihaaꞌiyya final invoice
ﻓﺎﻁﺭ	not fasting; having had breakfast	adj	NA	faaṭir	faaṭir ‫ ﻓﺎﻁﺭ‬adj not fasting; having had breakfast
ﻓﺎﻁﻲ	aaṭṭi saṭur silly, crazy	adj f	NA	faaṭṭi	faaṭṭi ‫ ﻓﺎﻁﻲ‬adj faaṭṭi saṭur silly, crazy
ﻓﺎﻭﺓ	invar light (of weight); baṭn-o faawa he's useless	adj	NA	faawa	faawa ‫ ﻓﺎﻭﺓ‬adj invar light (of weight); baṭn-o faawa he's useless
