term	en_term	cat
وزراء للرعاية الاجتماعية	ministers for social welfare	GOVHLH
الوزارة للرعاية الاجتماعية	ministry for social welfare	GOVHLH
الوزارات للرعاية الاجتماعية	ministries for social welfare	GOVHLH
وزير للتخطيط الدولة	minister for state planning	GOVDEV
وزراء للتخطيط الدولة	ministers for state planning	GOVDEV
وزارة للتخطيط الدولة	ministry for state planning	GOVDEV
وزارات للتخطيط الدولة	ministries for state planning	GOVDEV
وزير للاتصالات	minister for telecommunication	GOVMED
وزراء للاتصالات السلكية واللاسلكية	ministers for telecommunication	GOVMED
وزارة الاتصالات ل	ministry for telecommunication	GOVMED
وزارات للاتصالات السلكية واللاسلكية	ministries for telecommunication	GOVMED
وزير للبيئة	minister for the environment	GOVENV
وزراء البيئة	ministers for the environment	GOVENV
وزارة للبيئة	ministry for the environment	GOVENV
وزارات البيئة	ministries for the environment	GOVENV
وزير النقل	minister for transport	GOVMED
وزراء النقل	ministers for transport	GOVMED
وزارة النقل	ministry for transport	GOVMED
الوزارات للنقل	ministries for transport	GOVMED
وزير النقل والاتصالات	minister for transport and communication	GOVMED
وزراء النقل والاتصالات	ministers for transport and communication	GOVMED
وزارة النقل والاتصالات	ministry for transport and communication	GOVMED
وزارات النقل والاتصالات	ministries for transport and communication	GOVMED
وزير لشؤون المحاربين القدامى	minister for veterans affairs	GOVDEV
وزراء للشؤون المحاربين القدامى	ministers for veterans affairs	GOVDEV
الوزارة للشؤون المحاربين القدامى	ministry for veterans affairs	GOVDEV
الوزارات للشؤون المحاربين القدامى	ministries for veterans affairs	GOVDEV
وزير الرفاه ل	minister for welfare	GOVHLH
وزراء للرعاية	ministers for welfare	GOVHLH
الوزارة للرعاية	ministry for welfare	GOVHLH
الوزارات لرعاية	ministries for welfare	GOVHLH
وزير للنساء	minister for women	GOVHRI
وزراء للنساء	ministers for women	GOVHRI
وزارة للمرأة	ministry for women	GOVHRI
الوزارات للنساء	ministries for women	GOVHRI
وزير الزراعة	minister of agriculture	GOVAGR
وزراء الزراعة	ministers of agriculture	GOVAGR
وزارة الزراعة	ministry of agriculture	GOVAGR
وزارات الزراعة	ministries of agriculture	GOVAGR
وزير الثروة الحيوانية والمائية	minister of animal husbandry and aquatics	GOVAGR
وزراء الثروة الحيوانية والمائية	ministers of animal husbandry and aquatics	GOVAGR
وزارة الثروة الحيوانية والمائية	ministry of animal husbandry and aquatics	GOVAGR
وزارات الثروة الحيوانية والمائية	ministries of animal husbandry and aquatics	GOVAGR
وزير الثروة الحيوانية	minister of animal resources	GOVAGR
وزراء الثروة الحيوانية	ministers of animal resources	GOVAGR
وزارة الثروة الحيوانية	ministry of animal resources	GOVAGR
وزارات الثروة الحيوانية	ministries of animal resources	GOVAGR
وزير المدنية	minister of civil	GOVMIL
وزراء المدنية	ministers of civil	GOVMIL
وزارة مدنية	ministry of civil	GOVMIL
وزارات المدنية	ministries of civil	GOVMIL
وزير الاتصالات	minister of communications	GOVMED
وزراء الاتصالات	ministers of communications	GOVMED
وزارة الإتصالات	ministry of communications	GOVMED
وزارات الاتصالات	ministries of communications	GOVMED
وزير الاتصالات	minister of communication	GOVMED
وزراء الاتصالات	ministers of communication	GOVMED
وزارة الاتصالات	ministry of communication	GOVMED
وزارات الاتصالات	ministries of communication	GOVMED
وزير الاتصال والثقافة	minister of communication and culture	GOVMED
وزراء الاتصالات والثقافة	ministers of communication and culture	GOVMED
وزارة الاتصال والثقافة	ministry of communication and culture	GOVMED
زارتي الاتصالات والثقافة	ministries of communication and culture	GOVMED
وزير البناء	minister of construction	GOVDEV
وزراء البناء	ministers of construction	GOVDEV
وزارة البناء	ministry of construction	GOVDEV
الوزارات البناء	ministries of construction	GOVDEV
وزير الدفاع	minister of defence	GOVMIL
وزراء الدفاع	ministers of defence	GOVMIL
وزارة الدفاع	ministry of defence	GOVMIL
زارتي الدفاع	ministries of defence	GOVMIL
وزير الدفاع	minister of defense	GOVMIL
وزراء الدفاع	ministers of defense	GOVMIL
وزارة الدفاع	ministry of defense	GOVMIL
زارتي الدفاع	ministries of defense	GOVMIL
وزير التربية	minister of education	GOVEDU
وزراء التربية	ministers of education	GOVEDU
وزارة التربية والتعليم	ministry of education	GOVEDU
وزارات التعليم	ministries of education	GOVEDU
وزير العمل والتدريب المهني	minister of employment and vocational training	GOVLAB
وزراء العمل والتدريب المهني	ministers of employment and vocational training	GOVLAB
وزارة العمل والتدريب المهني	ministry of employment and vocational training	GOVLAB
وزارات العمل والتدريب المهني	ministries of employment and vocational training	GOVLAB
وزير البيئة	minister of environment	GOVENV
وزراء البيئة	ministers of environment	GOVENV
وزارة البيئة	ministry of environment	GOVENV
وزارات البيئة	ministries of environment	GOVENV
وزير معدات	minister of equipment	GOVDEV
وزراء المعدات	ministers of equipment	GOVDEV
وزارة التجهيز	ministry of equipment	GOVDEV
الوزارات المعدات	ministries of equipment	GOVDEV
وزير الثروة السمكية	minister of fisheries	GOVAGR
وزراء الثروة السمكية	ministers of fisheries	GOVAGR
وزارة الثروة السمكية	ministry of fisheries	GOVAGR
وزارات الثروة السمكية	ministries of fisheries	GOVAGR
وزير الصحة	minister of health	GOVHLH
وزراء الصحة	ministers of health	GOVHLH
وزارة الصحة	ministry of health	GOVHLH
وزارات الصحة	ministries of health	GOVHLH
وزير التعليم العالي	minister of higher education	GOVEDU
وزراء التعليم العالي	ministers of higher education	GOVEDU
وزارة التعليم العالي	ministry of higher education	GOVEDU
وزارات التعليم العالي	ministries of higher education	GOVEDU
وزير التنمية البشرية	minister of human development	GOVDEV
وزراء التنمية البشرية	ministers of human development	GOVDEV
وزارة التنمية البشرية	ministry of human development	GOVDEV
وزارات التنمية البشرية	ministries of human development	GOVDEV
وزير التنمية البشرية والتحول الاجتماعي	minister of human development and social transformation	GOVDEV
وزراء التنمية البشرية والتحول الاجتماعي	ministers of human development and social transformation	GOVDEV
وزارة التنمية البشرية والتحول الاجتماعي	ministry of human development and social transformation	GOVDEV
وزارات التنمية البشرية والتحول الاجتماعي	ministries of human development and social transformation	GOVDEV
وزير النفط والغاز	minister of hydrocarbons	GOVENV
وزراء النفط والغاز	ministers of hydrocarbons	GOVENV
وزارة النفط والغاز	ministry of hydrocarbons	GOVENV
وزارات النفط والغاز	ministries of hydrocarbons	GOVENV
وزير الصناعة	minister of industry	GOVBUS
وزراء الصناعة	ministers of industry	GOVBUS
وزارة الصناعة	ministry of industry	GOVBUS
وزارات الصناعة	ministries of industry	GOVBUS
وزير الصناعة والتجارة	minister of industry and trade	GOVBUS
وزراء الصناعة والتجارة	ministers of industry and trade	GOVBUS
وزارة الصناعة والتجارة	ministry of industry and trade	GOVBUS
وزارات الصناعة والتجارة	ministries of industry and trade	GOVBUS
وزير الإعلام	minister of information	GOVMED
وزراء الإعلام	ministers of information	GOVMED
وزارة الإعلام	ministry of information	GOVMED
وزارات الإعلام	ministries of information	GOVMED
وزير البنية التحتية	minister of infrastructure	GOVDEV
وزراء البنية التحتية	ministers of infrastructure	GOVDEV
وزارة البنية التحتية	ministry of infrastructure	GOVDEV
وزارات البنية التحتية	ministries of infrastructure	GOVDEV
وزير الري	minister of irrigation	GOVAGR
وزراء الري	ministers of irrigation	GOVAGR
وزارة الري	ministry of irrigation	GOVAGR
وزارات الري	ministries of irrigation	GOVAGR
وزير العمل	minister of labor	GOVLAB
وزراء العمل	ministers of labor	GOVLAB
وزارة العمل	ministry of labor	GOVLAB
وزارات العمل	ministries of labor	GOVLAB
وزير العمل	minister of labour	GOVLAB
وزراء العمل	ministers of labour	GOVLAB
وزارة العمل	ministry of labour	GOVLAB
وزارات العمل	ministries of labour	GOVLAB
وزير الثروة الحيوانية	minister of livestock	GOVAGR
وزراء الثروة الحيوانية	ministers of livestock	GOVAGR
وزارة الثروة الحيوانية	ministry of livestock	GOVAGR
وزارات الثروة الحيوانية	ministries of livestock	GOVAGR
وزير الحكم المحلي	minister of local government	GOVDEV
وزراء من الحكومة المحلية	ministers of local government	GOVDEV
وزارة الحكم المحلي	ministry of local government	GOVDEV
وزارات الحكم المحلي	ministries of local government	GOVDEV
وزير الموارد المعدنية	minister of mineral resources	GOVENV
وزراء الموارد المعدنية	ministers of mineral resources	GOVENV
وزارة الموارد المعدنية	ministry of mineral resources	GOVENV
وزارات الموارد المعدنية	ministries of mineral resources	GOVENV
وزير الدفاع الوطني	minister of national defence	GOVMIL
وزراء الدفاع الوطني	ministers of national defence	GOVMIL
وزارة الدفاع الوطني	ministry of national defence	GOVMIL
زارتي الدفاع الوطني	ministries of national defence	GOVMIL
وزير التنمية الوطنية	minister of national development	GOVDEV
وزراء التنمية الوطنية	ministers of national development	GOVDEV
وزارة التنمية الوطنية	ministry of national development	GOVDEV
وزارات التنمية الوطنية	ministries of national development	GOVDEV
وزير التربية الوطنية	minister of national education	GOVEDU
وزراء التربية الوطنية	ministers of national education	GOVEDU
وزارة التربية الوطنية	ministry of national education	GOVEDU
وزارات التربية الوطنية	ministries of national education	GOVEDU
وزير التخطيط الوطني والتنمية الاقتصادية	minister of national planning and economic development	GOVDEV
وزراء التخطيط الوطني والتنمية الاقتصادية	ministers of national planning and economic development	GOVDEV
وزارة التخطيط الوطني والتنمية الاقتصادية	ministry of national planning and economic development	GOVDEV
وزارات التخطيط الوطني والتنمية الاقتصادية	ministries of national planning and economic development	GOVDEV
وزير الأمن القومي	minister of national security	GOVMIL
وزراء الأمن القومي	ministers of national security	GOVMIL
وزارة الأمن القومي	ministry of national security	GOVMIL
وزارات الأمن القومي	ministries of national security	GOVMIL
وزير الموارد الطبيعية	minister of natural resources	GOVENV
وزراء الموارد الطبيعية	ministers of natural resources	GOVENV
وزارة الموارد الطبيعية	ministry of natural resources	GOVENV
وزارات الموارد الطبيعية	ministries of natural resources	GOVENV
وزير الموارد الطبيعية والبيئة	minister of natural resources and environment	GOVENV
وزراء الموارد الطبيعية والبيئة	ministers of natural resources and environment	GOVENV
وزارة الموارد الطبيعية والبيئة	ministry of natural resources and environment	GOVENV
وزارات الموارد الطبيعية والبيئة	ministries of natural resources and environment	GOVENV
وزير التخطيط	minister of planning	GOVDEV
وزراء التخطيط	ministers of planning	GOVDEV
وزارة التخطيط	ministry of planning	GOVDEV
وزارات التخطيط	ministries of planning	GOVDEV
وزير التخطيط والتنمية	minister of planning and development	GOVDEV
وزراء التخطيط والتنمية	ministers of planning and development	GOVDEV
وزارة التخطيط والتنمية	ministry of planning and development	GOVDEV
زارتي التخطيط والتنمية	ministries of planning and development	GOVDEV
وزير البريد والاتصالات السلكية واللاسلكية	minister of post and telecommunication	GOVMED
وزراء البريد والاتصالات السلكية واللاسلكية	ministers of post and telecommunication	GOVMED
وزارة البريد والاتصالات السلكية واللاسلكية	ministry of post and telecommunication	GOVMED
وزارات البريد والاتصالات السلكية واللاسلكية	ministries of post and telecommunication	GOVMED
وزير الإنتاج	minister of production	GOVBUS
وزراء الإنتاج	ministers of production	GOVBUS
وزارة الإنتاج	ministry of production	GOVBUS
وزارات الإنتاج	ministries of production	GOVBUS
وزير الصحة العامة	minister of public health	GOVHLH
وزراء الصحة العامة	ministers of public health	GOVHLH
وزارة الصحة العامة	ministry of public health	GOVHLH
وزارات الصحة العامة	ministries of public health	GOVHLH
وزير الصحة العامة والرعاية الاجتماعية	minister of public health and social welfare	GOVHLH
وزراء الصحة العامة والرعاية الاجتماعية	ministers of public health and social welfare	GOVHLH
وزارة الصحة العامة والرعاية الاجتماعية	ministry of public health and social welfare	GOVHLH
وزارات الصحة العامة والرعاية الاجتماعية	ministries of public health and social welfare	GOVHLH
وزير الخدمة العامة	minister of public service	GOVDEV
وزراء الخدمة العامة	ministers of public service	GOVDEV
وزارة الخدمة العامة	ministry of public service	GOVDEV
وزارات الخدمة العامة	ministries of public service	GOVDEV
وزير الخدمة العامة والإصلاح administerrative	minister of public service and administerrative reform	GOVDEV
وزراء الخدمة العامة والإصلاح administersrative	ministers of public service and administersrative reform	GOVDEV
وزارة الخدمة العامة والإصلاح administryrative	ministry of public service and administryrative reform	GOVDEV
وزارات الخدمة العامة والإصلاح administriesrative	ministries of public service and administriesrative reform	GOVDEV
وزير النقل بالسكك الحديدية	minister of rail transport	GOVMED
وزراء النقل بالسكك الحديدية	ministers of rail transport	GOVMED
وزارة النقل بالسكك الحديدية	ministry of rail transport	GOVMED
وزارات النقل بالسكك الحديدية	ministries of rail transport	GOVMED
وزير الشؤون الدينية	minister of religious affairs	GOVREL
وزراء الشؤون الدينية	ministers of religious affairs	GOVREL
وزارة الشئون الدينية	ministry of religious affairs	GOVREL
وزارات الشؤون الدينية	ministries of religious affairs	GOVREL
وزير التنمية الريفية	minister of rural development	GOVDEV
وزراء التنمية الريفية	ministers of rural development	GOVDEV
وزارة التنمية الريفية	ministry of rural development	GOVDEV
وزارات التنمية الريفية	ministries of rural development	GOVDEV
وزير الشؤون الاجتماعية والعمل	minister of social affairs and labor	GOVLAB
وزراء الشؤون الاجتماعية والعمل	ministers of social affairs and labor	GOVLAB
وزارة الشؤون الاجتماعية والعمل	ministry of social affairs and labor	GOVLAB
وزارات الشؤون الاجتماعية والعمل	ministries of social affairs and labor	GOVLAB
وزير الرعاية الاجتماعية	minister of social welfare	GOVHLH
وزراء الرعاية الاجتماعية	ministers of social welfare	GOVHLH
وزارة الرعاية الاجتماعية	ministry of social welfare	GOVHLH
وزارات الرعاية الاجتماعية	ministries of social welfare	GOVHLH
وزير التخطيط الدولة	minister of state planning	GOVDEV
وزراء تخطيط الدولة	ministers of state planning	GOVDEV
وزارة تخطيط الدولة	ministry of state planning	GOVDEV
وزارات تخطيط الدولة	ministries of state planning	GOVDEV
وزير الاتصالات	minister of telecommunication	GOVMED
وزراء الاتصالات السلكية واللاسلكية	ministers of telecommunication	GOVMED
وزارة الاتصالات	ministry of telecommunication	GOVMED
وزارات الاتصالات السلكية واللاسلكية	ministries of telecommunication	GOVMED
وزير البيئة	minister of the environment	GOVENV
وزراء البيئة	ministers of the environment	GOVENV
وزارة البيئة	ministry of the environment	GOVENV
وزارات البيئة	ministries of the environment	GOVENV
وزير النقل	minister of transport	GOVMED
وزراء النقل	ministers of transport	GOVMED
وزارة النقل	ministry of transport	GOVMED
وزارات النقل	ministries of transport	GOVMED
وزير شؤون المحاربين القدامى	minister of veterans affairs	GOVDEV
وزراء شؤون المحاربين القدامى	ministers of veterans affairs	GOVDEV
وزارة شؤون المحاربين القدامى	ministry of veterans affairs	GOVDEV
وزارات شؤون المحاربين القدامى	ministries of veterans affairs	GOVDEV
وزير الرفاه	minister of welfare	GOVHLH
وزراء الرعاية الاجتماعية	ministers of welfare	GOVHLH
وزارة الرعاية الاجتماعية	ministry of welfare	GOVHLH
وزارات الرعاية الاجتماعية	ministries of welfare	GOVHLH
وزيرة شؤون المرأة	minister of women	GOVHRI
وزراء من النساء	ministers of women	GOVHRI
وزارة المرأة	ministry of women	GOVHRI
الوزارات للمرأة	ministries of women	GOVHRI
التخطيط الوطني ووزير التنمية الاقتصادية	national planning and economic development minister	GOVDEV
وزراء التنمية الاقتصادية والتخطيط الوطني	national planning and economic development ministers	GOVDEV
التخطيط الوطني ووزارة التنمية الاقتصادية	national planning and economic development ministry	GOVDEV
التخطيط الوطني والوزارات التنمية الاقتصادية	national planning and economic development ministries	GOVDEV
وزير البريد والاتصالات	post and telecommunications minister	GOVMED
البريد والاتصالات وزراء	post and telecommunications ministers	GOVMED
البريد والاتصالات وزارة	post and telecommunications ministry	GOVMED
البريد والاتصالات الوزارات	post and telecommunications ministries	GOVMED
وزير النقل بالسكك الحديدية	rail transport minister	GOVMED
وزراء النقل بالسكك الحديدية	rail transport ministers	GOVMED
وزارة النقل بالسكك الحديدية	rail transport ministry	GOVMED
وزارات النقل بالسكك الحديدية	rail transport ministries	GOVMED
وزير الشؤون الدينية	religious affairs minister	GOVREL
وزراء الشؤون الدينية	religious affairs ministers	GOVREL
وزارة الشؤون الدينية	religious affairs ministry	GOVREL
وزارات الشؤون الدينية	religious affairs ministries	GOVREL
وزير الرفاه الاجتماعي	social welfare minister	GOVHLH
وزراء الرعاية الاجتماعية	social welfare ministers	GOVHLH
وزارة الرعاية الاجتماعية	social welfare ministry	GOVHLH
وزارات الرعاية الاجتماعية	social welfare ministries	GOVHLH
وزير تخطيط الدولة	state planning minister	GOVDEV
وزراء تخطيط الدولة	state planning ministers	GOVDEV
وزارة تخطيط الدولة	state planning ministry	GOVDEV
الوزارات تخطيط الدولة	state planning ministries	GOVDEV
وزير الاتصالات	telecommunications minister	GOVMED
وزراء الاتصالات	telecommunications ministers	GOVMED
وزارة الاتصالات	telecommunications ministry	GOVMED
وزارات الاتصالات	telecommunications ministries	GOVMED
وزير الاتصالات	telecommunication minister	GOVMED
وزراء الاتصالات السلكية واللاسلكية	telecommunication ministers	GOVMED
وزارة الاتصالات	telecommunication ministry	GOVMED
وزارات الاتصالات السلكية واللاسلكية	telecommunication ministries	GOVMED
وزير النقل	transportation minister	GOVMED
وزراء النقل	transportation ministers	GOVMED
وزارة النقل	transportation ministry	GOVMED
وزارات النقل	transportation ministries	GOVMED
وزير النقل والاتصالات	transport and communication minister	GOVMED
وزراء النقل والاتصالات	transport and communication ministers	GOVMED
وزارة النقل والاتصالات	transport and communication ministry	GOVMED
وزارات النقل والاتصالات	transport and communication ministries	GOVMED
وزير النقل	transport minister	GOVMED
وزراء النقل	transport ministers	GOVMED
وزارة النقل	transport ministry	GOVMED
وزارات النقل	transport ministries	GOVMED
وزير الرفاه	welfare minister	GOVHLH
وزراء الرعاية الاجتماعية	welfare ministers	GOVHLH
وزارة الرعاية الاجتماعية	welfare ministry	GOVHLH
وزارات الرعاية الاجتماعية	welfare ministries	GOVHLH
مدرس	teacher	TEACHERS
مرب	educator	TEACHERS
عضو هيئة التدريس	faculty member	TEACHERS
طالب علم	student	STUDENTS
التلميذ	pupil	STUDENTS
زميل الدراسة	classmate	STUDENTS
الاتحاد الأوروبي	eu	EUROPEAN UNION
الاتحاد الأوروبي.	e.u.	EUROPEAN UNION
البنك المركزي الأوروبي	european central bank	EUROPEAN UNION
الجماعة الاقتصادية الأوروبية	eec	EUROPEAN UNION
e.e.c.	e.e.c.	EUROPEAN UNION
البنك المركزي الأوروبي	ecb	EUROPEAN UNION
e.c.b.	e.c.b.	EUROPEAN UNION
e.c.b.	e.c.b.	EUROPEAN UNION
منطقة اليورو	eurozone	EUROPEAN UNION
الإتحاد الأوربي	european union	EUROPEAN UNION
المفوضية الاوروبية	european commission	EUROPEAN UNION
البرلمان الأوروبي	european parliament	EUROPEAN UNION
مجتمع اوروبي	european community	EUROPEAN UNION
الجماعة الأوروبية للفحم والصلب	european coal and steel community	EUROPEAN UNION
التكامل الأوروبي	european integration	EUROPEAN UNION
بنك عالمي	world bank	INT FINANCIAL INST
صندوق النقد الدولي	imf	INT FINANCIAL INST
صندوق النقد الدولي	international monetary fund	INT FINANCIAL INST
البنك الدولي	ibrd	INT FINANCIAL INST
البنك الدولي للإنشاء والتعمير	international bank for reconstruction and development	INT FINANCIAL INST
جمعية تنمية الدولية	international development association	INT FINANCIAL INST
مؤسسة التمويل الدولية	international finance corporation	INT FINANCIAL INST
المركز الدولي لتسوية منازعات الاستثمار	international centre for settlement of investment disputes	INT FINANCIAL INST
وكالة ضمان الاستثمار متعدد الأطراف	multilateral investment guarantee agency	INT FINANCIAL INST
بنك التنمية الآسيوي	asian development bank	INT FINANCIAL INST
مصرف التنمية للبلدان الأمريكية	inter american development bank	INT FINANCIAL INST
بنك التنمية للبلدان الأمريكية	interamerican development bank	INT FINANCIAL INST
بنك الاستثمار الأوروبي	european investment bank	INT FINANCIAL INST
البنك الأوروبي للإنشاء والتعمير	european bank for reconstruction and development	INT FINANCIAL INST
بنك تنمية متعدد الأطراف	multilateral development bank	INT FINANCIAL INST
منظمة التجارة العالمية	world trade organization	INT FINANCIAL INST
الاتفاق العام بشأن التعريفات الجمركية والتجارة	general agreement on tariffs and trade	INT FINANCIAL INST
المنظمات غير الحكومية	ngo	CIVIL SOCIETY
المجتمع المدني	civil society	CIVIL SOCIETY
منظمة غير حكومية	non governmental organization	CIVIL SOCIETY
منظمة غير حكومية	nongovernmental organization	CIVIL SOCIETY
منظمة غير حكومية	non governmental organisation	CIVIL SOCIETY
منظمة غير حكومية	nongovernmental organisation	CIVIL SOCIETY
غير ربحية	non profit	CIVIL SOCIETY
غير الربحية	non profits	CIVIL SOCIETY
غير ربحية	nonprofit	CIVIL SOCIETY
المنظمات غير الربحية	nonprofits	CIVIL SOCIETY
جمعية تطوعية	voluntary association	CIVIL SOCIETY
الرأسمالية الاجتماعية	social capital	CIVIL SOCIETY
مجموعة المجتمع	community group	CIVIL SOCIETY
مجموعة محاماة	advocacy group	CIVIL SOCIETY
مجموعة ناشطة	activist group	CIVIL SOCIETY
الجمعيات المهنية	professional association	CIVIL SOCIETY
الشعبية	grassroots	CIVIL SOCIETY
منظمة مدنية	civic organization	CIVIL SOCIETY
منظمة مدنية	civic organisation	CIVIL SOCIETY
جمعية مدنية	civic association	CIVIL SOCIETY
منظمة محلية	local organization	CIVIL SOCIETY
منظمة محلية	local organisation	CIVIL SOCIETY
ناشط محلي	local activist	CIVIL SOCIETY
جماعة حقوقية	rights group	CIVIL SOCIETY
مجموعة الصحيحة	right group	CIVIL SOCIETY
كارتل	cartel	DRUG CARTELS
رئيس عصابة المخدرات	drug lord	DRUG CARTEL
أباطرة المخدرات	drug lords	DRUG CARTEL
مهرب مخدرات	drug trafficker	DRUG CARTEL
تهريب المخدرات	drug trafficking	DRUG CARTEL
الاتجار غير المشروع	illicit trafficking	DRUG CARTEL
زيتاس لوس	los zetas	DRUG CARTEL
زيتاس	zetas	DRUG CARTEL
سينالوا كارتل	sinaloa cartel	DRUG CARTEL
فرسان الهيكل	knights templar	DRUG CARTEL
خاليسكو الجيل الجديد الكارتل	jalisco new generation cartel	DRUG CARTEL
matazetas	matazetas	DRUG CARTEL
مللي 13	ms 13	DRUG CARTEL
كالي 18	calle 18	DRUG CARTEL
باريو 18	barrio 18	DRUG CARTEL
la18	la18	DRUG CARTEL
مارا 18	mara 18	DRUG CARTEL
M18	m18	DRUG CARTEL
urabenos لوس	los urabenos	DRUG CARTEL
ندرانجيتا	ndrangheta	DRUG CARTEL
erpac المنظمة	erpac cartel	DRUG CARTEL
erpac	erpac	DRUG CARTEL
قوات حفظ السلام	peacekeeper	PEACEKEEPERS
حفظ السلام	peacekeeping	PEACEKEEPERS
قوات حفظ السلام	peacekeepers	PEACEKEEPERS
قوة استقرار	stabilization force	PEACEKEEPERS
قوات الاستقرار	stabilization forces	PEACEKEEPERS
قوات الامم المتحدة	un forces	PEACEKEEPERS
قوات الأمم المتحدة	united nations forces	PEACEKEEPERS
بعثة الاتحاد الأفريقي في الصومال	african union mission in somalia	PEACEKEEPERS
الامم المتحدة أنغولا بعثة التحقق	united nations angola verification mission	PEACEKEEPERS
عملية الأمم المتحدة في الكونغو	united nations operation in the congo	PEACEKEEPERS
مجموعة المساعدة الأمم المتحدة الانتقالية	united nations transition assistance group	PEACEKEEPERS
موحدة بعثة الأمم مراقب في ليبيريا	united nations observer mission in liberia	PEACEKEEPERS
موحدة بعثة مراقبي الأمم أوغندا ورواندا	united nations observer mission uganda-rwanda	PEACEKEEPERS
عملية الأمم المتحدة في الصومال	united nations operation in somalia	PEACEKEEPERS
الامم المتحدة اوزو مراقب الشريط	united nations aouzou strip observer	PEACEKEEPERS
بعثة مراقبي الأمم المتحدة في أنغولا	united nations observer mission in angola	PEACEKEEPERS
موحدة بعثة الأمم مراقب في سيراليون	united nations observer mission in sierra leone	PEACEKEEPERS
بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى	united nations mission in the central african republic	PEACEKEEPERS
بعثة الأمم المتحدة في سيراليون	united nations mission in sierra leone	PEACEKEEPERS
بعثة الأمم المتحدة في إثيوبيا وإريتريا	united nations mission in ethiopia and eritrea	PEACEKEEPERS
عملية الأمم المتحدة في بوروندي	united nations operation in burundi	PEACEKEEPERS
موحدة بعثة منظمة الأمم في جمهورية الكونغو الديمقراطية	united nations organization mission in the democratic republic of the congo	PEACEKEEPERS
بعثة الأمم المتحدة في جمهورية أفريقيا الوسطى وتشاد	united nations mission in the central african republic and chad	PEACEKEEPERS
بعثة الأمم المتحدة في السودان	united nations mission in the sudan	PEACEKEEPERS
المجموعة المتحدة الدول المراقبة في أمريكا الوسطى	united nations observer group in central america	PEACEKEEPERS
موحدة بعثة الأمم مراقبة في السلفادور	united nations observer mission in el salvador	PEACEKEEPERS
بعثة الأمم المتحدة في هايتي	united nations mission in haiti	PEACEKEEPERS
الأمم المتحدة لدعم البعثة في هايتي	united nations support mission in haiti	PEACEKEEPERS
موحدة بعثة الأمم تحقق في غواتيمالا	united nations verification mission in guatemala	PEACEKEEPERS
موحدة بعثة الأمم الانتقالية في هايتي	united nations transition mission in haiti	PEACEKEEPERS
بعثة الأمم المتحدة للشرطة المدنية في هايتي	united nations civilian police mission in haiti	PEACEKEEPERS
الأمم المتحدة الجمعية العامة بعثة الدعم المدني الدولي في هايتي	united nations general assembly international civilian support mission in haiti	PEACEKEEPERS
موحدة قوات الأمن الدول في غينيا الجديدة الغربية	united nations security force in west new guinea	PEACEKEEPERS
الامم المتحدة بين الهند وباكستان بعثة المراقبة	united nations india-pakistan observation mission	PEACEKEEPERS
الامم المتحدة جيدة بعثة المساعي في أفغانستان وباكستان	united nations good offices mission in afghanistan and pakistan	PEACEKEEPERS
بعثة الأمم المتحدة المتقدمة في كمبوديا	united nations advance mission in cambodia	PEACEKEEPERS
سلطة الأمم المتحدة الانتقالية في كمبوديا	united nations transitional authority in cambodia	PEACEKEEPERS
بعثة الأمم المتحدة للمراقبين في طاجيكستان	united nations mission of observers in tajikistan	PEACEKEEPERS
بعثة الأمم المتحدة في تيمور الشرقية	united nations mission in east timor	PEACEKEEPERS
إدارة الأمم المتحدة الانتقالية في تيمور الشرقية	the united nations transitional administration in east timor	PEACEKEEPERS
بعثة الأمم المتحدة للدعم في تيمور الشرقية	united nations mission of support in east timor	PEACEKEEPERS
بعثة الأمم المتحدة المتكاملة في تيمور الشرقية	united nations integrated mission in timor-leste	PEACEKEEPERS
قوة الأمم المتحدة للحماية	united nations protection force	PEACEKEEPERS
موحدة بعثة الأمم مراقب في جورجيا	united nations observer mission in georgia	PEACEKEEPERS
عملية الأمم المتحدة لاستعادة الثقة	united nations confidence restoration operation	PEACEKEEPERS
بعثة الأمم المتحدة في البوسنة والهرسك	united nations mission in bosnia and herzegovina	PEACEKEEPERS
قوة الأمم المتحدة للنشر وقائية	united nations preventive deployment force	PEACEKEEPERS
سلطة الأمم المتحدة الانتقالية في برانيا سلافونيا الشرقية وسيرميوم الغربية	united nations transitional authority in eastern slavonia baranja and western sirmium	PEACEKEEPERS
بعثة الأمم المتحدة في بريفلاكا	united nations mission of observers in prevlaka	PEACEKEEPERS
الأمم المتحدة للشرطة المدنية مجموعة الدعم	united nations civilian police support group	PEACEKEEPERS
الامم المتحدة بين إيران والعراق فريق المراقبين العسكريين	united nations iran-iraq military observer group	PEACEKEEPERS
بعثة الأمم المتحدة للمراقبة في العراق والكويت	united nations iraq-kuwait observation mission	PEACEKEEPERS
موحدة بعثة الإشراف الدول في سوريا	united nations supervision mission in syria	PEACEKEEPERS
بعثة الأمم المتحدة للاستفتاء في الصحراء الغربية	united nations mission for the referendum in western sahara	PEACEKEEPERS
بعثة الأمم المتحدة في ليبيريا	united nations mission in liberia	PEACEKEEPERS
عملية الأمم المتحدة في كوت ديفوار	united nations operation in cote d'ivoire	PEACEKEEPERS
الامم المتحدة / بعثة الاتحاد الأفريقي في دارفور	united nations/african union mission in darfur	PEACEKEEPERS
