agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
"United Nations Children’s Fund",Americas,NIC,Nicaragua,2009-11-30,"Storm (hurricane, cyclone, etc.)",09-CEF-063-C,2019,"Promotion of appropriate nutrition and hygiene practices and monitoring of malnutrition and violence against children in emergency","Latin America and the Caribbean",M,49969.0,"Rapid Response",2009,Protection,Protection,"",""
"United Nations Children’s Fund",Americas,NIC,Nicaragua,2009-11-30,"Storm (hurricane, cyclone, etc.)",09-CEF-063-B,2018,"Humanitarian response in water, sanitation and hygiene in communities affected by the hurricane IDA in RAAN and RAAS, in support to Regional and Municipal Governments, MoH and NGOs","Latin America and the Caribbean",M,81240.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Population Fund",Americas,NIC,Nicaragua,2009-11-25,"Storm (hurricane, cyclone, etc.)",09-FPA-034,2021,"Humanitarian response for deliver attention, micronutrients provision to pregnant women, lactation women and prevention and care of victims of gender violence. ","Latin America and the Caribbean",M,70583.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Health Organization",Americas,NIC,Nicaragua,2009-11-25,"Storm (hurricane, cyclone, etc.)",09-WHO-067,2024,"Humanitarian response in water and sanitation in support to the Ministry of Health, the Secretariat of Health (GRAAN and GRAAS) and the Community Network of RAAN and RAAS","Latin America and the Caribbean",M,102320.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Americas,NIC,Nicaragua,2009-11-25,"Storm (hurricane, cyclone, etc.)",09-FAO-038,2020,"Assistance for the reactivation of the artisan fisheries sector affected by Hurricane IDA in Caribbean Coast communities.","Latin America and the Caribbean",M,447127.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"World Health Organization",Americas,NIC,Nicaragua,2009-12-10,"Storm (hurricane, cyclone, etc.)",09-WHO-068,2025,"Humanitarian response to assure the population´s medical attention in the communities affected in support to the Ministry of Health, Secretary of Health and Community Network of RAAN and RAAS.","Latin America and the Caribbean",M,281702.0,"Rapid Response",2009,Health,Health,"",""
"World Health Organization",Americas,SLV,"El Salvador",2009-11-20,"Storm (hurricane, cyclone, etc.)",09-WHO-065,2034,"El Salvador	Health Response to the Emergency in El Salvador to provide emergency health services
SLV-09/H/31031","Latin America and the Caribbean",M,289818.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Americas,COL,Colombia,2009-05-01,Displacement,09-WFP-020,1721,"Emergency Food Assistance in Isolated Rural Areas of the Colombian Pacific Coast","Latin America and the Caribbean",M,203289.0,"Underfunded Emergencies",2009,"Common Logistics",Logistics,"",""
"World Food Programme",Americas,COL,Colombia,2009-01-08,Flood,09-WFP-001,1575,"Emergency Food Assistance to Persons Affected by Natural Disasters in Colombia","Latin America and the Caribbean",M,1271938.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Americas,COL,Colombia,2009-05-07,Displacement,09-CEF-021,1720,"Protection of children affected by emergencies on the Colombian Pacific Coast","Latin America and the Caribbean",M,721876.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Population Fund",Americas,COL,Colombia,2009-05-01,Displacement,09-FPA-009,1719,"Guaranteeing Safe Motherhood and Reproductive Health, Attention to Gender-Based Violence (GBV) and Dignity and Hygiene of Women in Displaced and Vulnerable Populations in Colombia’s Pacific Coast","Latin America and the Caribbean",M,345583.0,"Underfunded Emergencies",2009,Health,Health,"",""
"Food and Agriculture Organization",Americas,COL,Colombia,2009-05-06,Displacement,09-FAO-013,1722,"Food Security through Restored Agriculture in Affected Areas of the Pacific Coast","Latin America and the Caribbean",M,769801.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2009-10-01,Drought,09-CEF-052-A,1937,"Attention to children identified with moderate and severe acute malnutrition","Latin America and the Caribbean",M,358443.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Americas,GTM,Guatemala,2009-10-01,Drought,09-CEF-052-B,1938,"Water, sanitation and environmental hygiene in affected communities by de drought","Latin America and the Caribbean",M,299975.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"Food and Agriculture Organization",Americas,GTM,Guatemala,2009-09-30,Drought,09-FAO-031,1939,"Immediate assistance to re-establish food production and the livelihoods of the vulnerable farmers affected by the drought in Guatemala","Latin America and the Caribbean",M,804524.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"United Nations Population Fund",Americas,GTM,Guatemala,2009-09-30,Drought,09-FPA-027,1940,"Decrease the mortality from severe acute malnutrition and related diseases, 11 departments of Guatemala’s “dry corridor”  ","Latin America and the Caribbean",M,203514.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Health Organization",Americas,GTM,Guatemala,2009-09-30,Drought,09-WHO-054,1942,"Decrease the mortality from severe acute malnutrition and related diseases, 11 departments of Guatemala’s “dry corridor”  ","Latin America and the Caribbean",M,833512.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Food Programme",Americas,GTM,Guatemala,2009-09-30,Drought,09-WFP-059,1941,"Food assistance to people affected by drought and crop losses","Latin America and the Caribbean",M,2500000.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Americas,HTI,Haiti,2009-04-21,Flood,09-CEF-025-A,1736,"Prevention, detection and treatment of malnutrition  for children and women and life saving food assistance to other vulnerable groups ","Latin America and the Caribbean",M,999997.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Americas,HTI,Haiti,2009-04-21,Flood,09-CEF-025-B,1737,"Water Sanitation  and Hygiene for Affected Families","Latin America and the Caribbean",M,499904.0,"Underfunded Emergencies",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Americas,HTI,Haiti,2009-04-21,Flood,09-CEF-025-C,1738,"Strengthen psychosocial support for affected children and families and prevention of family separation in the South, West and Artibonite departments. Emergency response to hurricane season 2008.
","Latin America and the Caribbean",M,248775.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"International Organization for Migration",Americas,HTI,Haiti,2009-04-22,Flood,09-IOM-013,1741,"Assistance to highly vulnerable households among displaced and returned communities to create conditions for recovery and self-sustainability","Latin America and the Caribbean",M,103041.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"World Food Programme",Americas,HTI,Haiti,2009-04-21,Flood,09-WFP-025,1739,"Prevention, detection and treatment of malnutrition  for children and women and life saving food assistance to other vulnerable groups ","Latin America and the Caribbean",M,2500000.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"United Nations Development Programme",Americas,HTI,Haiti,2009-04-22,Flood,09-UDP-004,1740,"Drains dredging and watershed rehabilitation","Latin America and the Caribbean",M,497550.0,"Underfunded Emergencies",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Population Fund",Americas,HTI,Haiti,2009-04-30,Flood,09-FPA-013,1742,"Comprehensive response to GBV in communities affected by floods in Haiti","Latin America and the Caribbean",M,80159.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"United Nations Development Fund for Women",Americas,HTI,Haiti,2009-04-30,Flood,09-FEM-001,1758,"Comprehensive response to GBV in communities affected by floods in Haiti","Latin America and the Caribbean",M,66340.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"World Food Programme",Africa,GIN,Guinea,2009-03-23,Multiple,09-WFP-012,1620,"WFP – Humanitarian Air Service in West Africa Coastal Countries","Western Africa",M,450000.0,"Rapid Response",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,GMB,Gambia,2009-11-05,Flood,09-CEF-061,2009,"Water and Sanitation Interventions to Prevent Illness and Deaths Related to Flooding in The Gambia","Western Africa",M,59932.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,GIN,Guinea,2009-01-09,Multiple,09-WFP-002,1577,"Humanitarian Air Service in West Africa Coastal Countries","Western Africa",M,1000000.0,"Rapid Response",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations High Commissioner for Refugees",Africa,GIN,Guinea,2009-09-16,Multiple,09-HCR-028,1889,"Health Care for Ivorian refugees
WA-09/MS/20841/R/120
","Western Africa",M,172472.0,"Underfunded Emergencies",2009,Health,Health,"",""
"World Food Programme",Africa,GIN,Guinea,2009-09-16,Multiple,09-WFP-047,1890,"WFP – Humanitarian Air Service in West Africa Coastal Countries
WA-09/CSS/21253/R/561
","Western Africa",M,300000.0,"Underfunded Emergencies",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,GIN,Guinea,2009-09-16,Multiple,09-CEF-047,1887,"Prise en charge de la malnutrition aigue sévère avec aliments therapeutiques (Resomal, F75, F100, Plumpy nut, Acid Folique, Amoxycilline toise, balance, bandes de MUAC en Haute Guinée","Western Africa",M,199023.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,GIN,Guinea,2009-09-16,Multiple,09-FAO-024,1888,"Emergency agricultural assistance to vulnerable population affected by food crisis and strengthening of FAO’s Emergency coordination and food Security Analysis Capacity","Western Africa",M,300000.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"World Health Organization",Africa,GIN,Guinea,2009-09-16,Multiple,09-WHO-043,1891,"Improving the capacities of Beyla, Lola and Nzerekore hospitals in Guinea forestière to reduce excess hospital mortality  due to acute severe malnutrition among under five children

","Western Africa",M,200090.0,"Underfunded Emergencies",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,GIN,Guinea,2009-11-09,"Disruption of basic services",09-CEF-056,1967,"Health and Water Hygiene and Sanitation related assistance to the victims of violence in Conakry and other hot spots surrounding Conakry","Western Africa",M,416056.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Health Organization",Africa,GIN,Guinea,2009-10-15,"Disruption of basic services",09-WHO-059,1968,"Urgent complementary support to health facilities for adequate case management for the victims of the crackdown on demonstration","Western Africa",M,417205.0,"Rapid Response",2009,Health,Health,"",""
"World Health Organization",Africa,BFA,"Burkina Faso",2009-03-30,Drought,09-WHO-005,1624,"Response to cerebrospinal meningitis epidemic in Burkina Faso","Western Africa",M,249989.0,"Underfunded Emergencies",2009,Health,Health,"",""
"World Food Programme",Africa,GMB,Gambia,2009-11-05,Flood,09-WFP-071,2008,"Provision of Emergency Food Assistance to People Affected by Floods in The Gambia","Western Africa",M,255125.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"World Health Organization",Africa,GMB,Gambia,2009-11-05,Flood,09-WHO-063,2010,"Health Interventions to Prevent Disease Outbreak and Deaths Related to Flooding in The Gambia","Western Africa",M,71487.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-05-19,Measles,09-CEF-032,1794,"Support  vaccination campaign in response to a Measles outbreak in Burkina Faso","Western Africa",M,1285573.0,"Rapid Response",2009,Health,Health,"",""
"World Health Organization",Africa,BFA,"Burkina Faso",2009-05-19,Measles,09-WHO-030,1795,"Support to reactive immunization campaign against measles outbreak in Burkina Faso","Western Africa",M,364870.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,BFA,"Burkina Faso",2009-03-30,Drought,09-WFP-013,1621,"Emergency response to High Food Prices in Burkina Faso main cities

WA-09/F/21263","Western Africa",M,750000.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-03-30,Drought,09-CEF-009,1622,"Emergency Nutrition Response for Child Survival in Burkina Faso

WA-09/H/21123/124","Western Africa",M,497544.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,BFA,"Burkina Faso",2009-03-30,Drought,09-FAO-005,1623,"Reconstitution de la capacité de production des ménages vulnérables affectés par la crise alimentaire et la hausse des prix au Burkina Faso

WA-09/A/21469","Western Africa",M,500002.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"United Nations Children’s Fund",Africa,CPV,"Cape Verde",2009-11-25,"Other health emergency",09-CEF-064,2038,"Response to a massive Dengue outbreak in Cape Verde","Western Africa",M,159758.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Africa,CPV,"Cape Verde",2009-11-25,"Other health emergency",09-WHO-069,2039,"Response to a massive Dengue outbreak in Cape Verde","Western Africa",M,314580.0,"Rapid Response",2009,Health,Health,"",""
"United Nations High Commissioner for Refugees",Africa,BFA,"Burkina Faso",2009-10-12,Flood,09-HCR-039,1963,"Shelter Assistance to displaced people in the relocation sites","Western Africa",M,627555.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
"World Food Programme",Africa,NER,Niger,2009-10-07,Flood,09-WFP-060,1945,"Emergency Food Assistance to flood-affected populations in Agadez region
WA-09/H/27751/R ","Western Africa",M,2225096.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"World Food Programme",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-WFP-064,1964,"Emergency response to flood victims in
Ouagadougou, Burkina Faso
BFA-09/F/25918
","Western Africa",M,1409185.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"World Health Organization",Africa,BFA,"Burkina Faso",2009-10-23,Flood,09-WHO-058,1965,"Restoring disrupted primary health care and other essential health services; strengthening surveillance and response for waterborne disease outbreaks","Western Africa",M,333209.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-CEF-055-C,1960,"Emergency Education assistance to 15,000 displaced Children at reception sites following the first September flash flooding in Ouagadougou, Burkina Faso","Western Africa",M,930001.0,"Rapid Response",2009,Education,Education,"",""
"United Nations Population Fund",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-FPA-029,1962,"Improved access to reproductive health services and information, prevention of (STI) and HIV, clinical management of (GBV) survivors and provision of life-saving dignity supplies","Western Africa",M,261615.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-CEF-055-D,1961,"Safe water supply, basic sanitation and hygiene for flood affected populations in Burkina Faso
BFA-09/WS/25927","Western Africa",M,117700.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-CEF-055-A,1958,"Emergency health assistance to 150,000 displaced persons at reception sites following the first September flash flooding in Ouagadougou, Burkina Faso","Western Africa",M,615220.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,BFA,"Burkina Faso",2009-10-20,Flood,09-CEF-055-B,1959,"Preventing and treating acute malnutrition among young children and women among the 150,000 displaced persons affected by floods in Ouagadougou","Western Africa",M,583461.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Food Programme",Africa,NER,Niger,2009-03-30,Displacement,09-WFP-014,1626,"Improving the nutritional status and reinforcing livelihoods of vulnerable populations in Niger","Western Africa",M,1193774.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"World Health Organization",Africa,NGA,Nigeria,2009-05-01,Meningitis,09-WHO-028,1770,"Project for emergency health intervention to control the meningitis outbreak in Nigeria","Western Africa",M,1279887.0,"Rapid Response",2009,Health,Health,"",""
"World Health Organization",Africa,NER,Niger,2009-03-18,"Other health emergency",09-WHO-008,1637,"Project for emergency health intervention to control the meningitis outbreak in Niger","Western Africa",M,1237088.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,NER,Niger,2009-09-02,"Other health emergency",09-WFP-048,1842,"Improving the nutritional status and reinforcing livelihoods of vulnerable populations in Niger

WA 09/F/24464/R","Western Africa",M,1845247.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,NER,Niger,2009-09-03,"Other health emergency",09-CEF-048-A,1840,"Emergency Nutrition Response

WA-09/H/21186-124","Western Africa",M,452583.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Children’s Fund",Africa,NER,Niger,2009-09-03,"Other health emergency",09-CEF-048-B,1841,"Emergency Response to Flooding and the Preparedness of Cholera Epidemic in Niger: Health - Water and Sanitation Interventions

NIG YH - 303
","Western Africa",M,309926.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Food Programme",Africa,NER,Niger,2009-02-06,Multiple,09-WFP-009,1600,"Provision of common emergency telecommunication services to the humanitarian community in Niger","Western Africa",M,189142.0,"Rapid Response",2009,"Common Telecommunications","Emergency Telecommunications","",""
"United Nations Children’s Fund",Africa,NER,Niger,2009-03-30,Displacement,09-CEF-010,1625,"Emergency Nutrition for Child Survival in Niger

WA-09/H/21186/124","Western Africa",M,1000001.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"World Health Organization",Africa,NER,Niger,2009-04-06,Displacement,09-WHO-006,1627,"Improving health facilities case management of medical complications of severe under-nutrition  

WA-09/H21902/122","Western Africa",M,176546.0,"Underfunded Emergencies",2009,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,NER,Niger,2009-03-30,Displacement,09-FAO-006,1628,"Assistance à la réhabilitation des moyens de subsistance durable des éleveurs

WA-09/A/21547/123","Western Africa",M,509281.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"World Food Programme",Africa,NER,Niger,2009-05-05,Displacement,09-WFP-015,1629,"UNHAS Provision of safe, efficient and sufficient air transport services to the humanitarian community in Niger and within the region.

SO -10734.0","Western Africa",M,1096740.0,"Underfunded Emergencies",2009,"Common Humanitarian Air Services","Coordination and Support Services","",""
"United Nations Children’s Fund",Africa,NER,Niger,2009-10-08,Flood,09-CEF-053,1943,"Emergency Assistance to flood-affected populations in Agadez region ","Western Africa",M,600270.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
"Food and Agriculture Organization",Africa,NER,Niger,2009-10-07,Flood,09-FAO-032,1944,"Assistance d’urgence aux exploitants agricoles victimes des inondations dans les communes d’Agadez, Dabaga, Tabelot et Tchirozérine de la région d’Agadez","Western Africa",M,700000.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"World Health Organization",Africa,NER,Niger,2009-10-02,Flood,09-WHO-055,1946,"Critical public health interventions to avoid deaths related to epidemic prone diseases in flood-affected population in Agadez region, Niger","Western Africa",M,166761.0,"Rapid Response",2009,Health,Health,"",""
"Food and Agriculture Organization",Africa,CIV,"Cote d'Ivoire",2009-04-03,Displacement,09-FAO-007,1630,"Provision of agri inputs to assist vulnerable rural hshlds affected by the conflict in CDI. people in food insec and affected by malnut in the Northern Region des Savanes  CIV-09/A/22008/123","Western Africa",M,200000.0,"Underfunded Emergencies",2009,Agriculture,"Food Security","",""
"International Organization for Migration",Africa,CIV,"Cote d'Ivoire",2009-05-05,Displacement,09-IOM-005,1631,"Restore peaceful cohabitation and social cohesion in host communities in Western Côte d’Ivoire (Dept. of  Bloléquin,)

CIV-09/P-HR-RL/24173","Western Africa",M,200000.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,CIV,"Cote d'Ivoire",2009-04-06,Displacement,09-HCR-004,1632,"Supprt to d retrn(n dgnty n secu)of IDPs n Wstrn CDI, cntrbtn to d sustnblty f rtrns thru trgtd initiatives n areas of retrn, n strngthng f d prtction environ for civilns, n partclr women n chldrn","Western Africa",M,800003.0,"Underfunded Emergencies",2009,Protection,Protection,"",""
"World Food Programme",Africa,CIV,"Cote d'Ivoire",2009-03-30,Displacement,09-WFP-016,1634,"Assistance to populations affected by the Côte d’Ivoire protracted crisis

CIV-09/F/22012/561","Western Africa",M,400000.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,CIV,"Cote d'Ivoire",2009-03-30,Displacement,09-CEF-011,1633,"Emergency nutrition for child survival in Northern Côte d’Ivoire ( Région des Savanes )

CIV-09/H22028/124","Western Africa",M,400000.0,"Underfunded Emergencies",2009,"Food Aid","Food Security","",""
"World Health Organization",Africa,CIV,"Cote d'Ivoire",2009-12-18,"Other health emergency",09-WHO-072,2057,"Emergency response to Yellow Fever outbreak  in Odienne and Minignan districts, Côte d’Ivoire","Western Africa",M,412313.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,MRT,Mauritania,2009-10-07,Drought,09-CEF-051,1931,"Soins nutritionnels d’urgence pour enfants malnutris en Mauritanie","Western Africa",M,201481.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"Food and Agriculture Organization",Africa,MRT,Mauritania,2009-10-07,Drought,09-FAO-030,1932,"Assistance aux agriculteurs et éleveurs affectés par le déficit pluviométrique, la malnutrition et l’insécurité alimentaire dans les régions d’urgence nutritionnelle","Western Africa",M,426994.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"World Food Programme",Africa,MRT,Mauritania,2009-10-08,Drought,09-WFP-058,1934,"Prise en charge de la malnutrition aiguë modérée dans les régions d’urgence nutritionnelle du Sud et du Centre
WA-09/F/21598/R","Western Africa",M,997000.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"World Health Organization",Africa,MRT,Mauritania,2009-10-06,Drought,09-WHO-053,1935,"Intervention  nutritionnelle dans les régions à risque  élevé du Sud et du Centre","Western Africa",M,233260.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Population Fund",Africa,MRT,Mauritania,2009-10-08,Drought,09-FPA-026,1933,"Assistance alimentaire aux femmes enceintes et allaitantes, réduction mortalité et morbidité maternelle et néonatale
WA-09/H/21903/R/1171","Western Africa",M,315762.0,"Rapid Response",2009,Nutrition,Nutrition,"",""
"United Nations Population Fund",Africa,LSO,Lesotho,2009-02-19,Drought,09-FPA-002,1587,"Prevention and management of sexual and gender based violence resulting from food crisis in Lesotho

","Southern Africa",M,181900.0,"Rapid Response",2009,Protection,Protection,"",""
"United Nations Human Settlements Programme",Africa,NAM,Namibia,2009-03-31,"Storm (hurricane, cyclone, etc.)",09-HAB-001,1695,"Provision of Emergency Shelter for displaced persons in Namibia

NAM-09/NF/01","Southern Africa",M,155150.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
"World Health Organization",Africa,NAM,Namibia,2009-03-31,Flood,09-WHO-020,1696,"Strengthening national health emergency response

NAM-09/H/01A (WHO)","Southern Africa",M,556721.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,LSO,Lesotho,2009-02-19,Drought,09-WFP-006,1588,"Social Protection and Food Assistance to Vulnerable Groups affected by high food prices in Lesotho","Southern Africa",M,393055.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,NAM,Namibia,2009-03-31,Flood,09-CEF-023-B,1693,"Supporting safe water and sanitation

NAM-09/WS/01","Southern Africa",M,320786.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Population Fund",Africa,NAM,Namibia,2009-03-31,Flood,09-FPA-010,1694,"Strengthening national health emergency response

NAM-09/H/01B (UNFPA) ","Southern Africa",M,37450.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,NAM,Namibia,2009-03-31,Flood,09-WFP-023,1697,"Technical support to Government of Namibia Flood Emergency Food Distribution Scheme

NAM-09/F/01","Southern Africa",M,15718.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,NAM,Namibia,2009-03-31,Flood,09-CEF-023-A,1692,"Strengthening national health emergency response

NAM-09/H/01C (UNICEF)","Southern Africa",M,214000.0,"Rapid Response",2009,Health,Health,"",""
"World Food Programme",Africa,SWZ,Swaziland,2009-12-07,Drought,09-WFP-074,2041,"Food Assistance to the most vulnerable food insecure population of Swaziland affected by drought","Southern Africa",M,1320110.0,"Rapid Response",2009,"Food Aid","Food Security","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-CEF-027-A,1730,"Improve access to life saving health services for the IDPs in the three Darfur States
SUD-09/HN191
","Nothern Africa",M,1174633.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-CEF-027-D,1733,"Meeting urgent WASH needs in Zamzam camp, North Darfur","Nothern Africa",M,908977.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-04-24,"Disruption of basic services",09-CEF-017-E,1675,"Emergency NFI and Shelter procurement ","Nothern Africa",M,180563.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-04-24,"Disruption of basic services",09-CEF-017-A,1671,"Protection of IDPs affected by LRA attacks in Central and Western Equatoria States, with emphasis on children","Nothern Africa",M,383722.0,"Rapid Response",2009,Protection,Protection,"",""
"United Nations High Commissioner for Refugees",Africa,SDN,"Republic of the Sudan",2009-04-16,"Disruption of basic services",09-HCR-010,1677,"Emergency Assistance to Congolese Refugees in Southern Sudan","Nothern Africa",M,1487300.0,"Rapid Response",2009,Protection,Protection,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-04-24,"Disruption of basic services",09-CEF-017-B,1672,"Improvement of the health situation of LRA-affected communities through increased access to safe water, sanitation and improved hygiene practices","Nothern Africa",M,1235743.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-04-24,"Disruption of basic services",09-CEF-017-C,1673,"Education in Emergency for children internally displaced, refugee children, and children in host communities","Nothern Africa",M,222502.0,"Rapid Response",2009,Education,Education,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-04-24,"Disruption of basic services",09-CEF-017-D,1674,"Increase Access to Health and Nutrition Services for IDPs and Refugees in Central and Western Equatoria States","Nothern Africa",M,302663.0,"Rapid Response",2009,Health,Health,"",""
"Food and Agriculture Organization",Africa,SDN,"Republic of the Sudan",2009-04-16,"Disruption of basic services",09-FAO-011,1676,"Emergency Agriculture Assistance to vulnerable IDPs and Refugees in Central and Western Equatoria States","Nothern Africa",M,385414.0,"Rapid Response",2009,Agriculture,"Food Security","",""
"International Organization for Migration",Africa,SDN,"Republic of the Sudan",2009-04-21,"Disruption of basic services",09-IOM-009,1678,"Emergency provision of safe drinking water and sanitation","Nothern Africa",M,259496.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"World Health Organization",Africa,SDN,"Republic of the Sudan",2009-04-16,"Disruption of basic services",09-WHO-016,1680,"Disease control, prevention and epidemic preparedness and Response programme in Southern Sudan","Nothern Africa",M,298652.0,"Rapid Response",2009,Health,Health,"",""
"United Nations Children’s Fund",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-CEF-027-C,1732,"Integrated WASH Programme for reaching populations in Darfur affected by NGO suspension ","Nothern Africa",M,2740172.0,"Rapid Response",2009,"Water, Sanitation and Hygiene","Water Sanitation Hygiene","",""
"International Organization for Migration",Africa,SDN,"Republic of the Sudan",2009-05-12,"Disruption of basic services",09-IOM-014,1735,"NFI Common Pipeline Operation: Transportation","Nothern Africa",M,1241595.0,"Rapid Response",2009,Shelter,"Emergency Shelter and NFI","",""
