term	cat
united nations mission in ethiopia and eritrea	PEACEKEEPERS
united nations operation in burundi	PEACEKEEPERS
united nations organization mission in the democratic republic of the congo	PEACEKEEPERS
united nations mission in the central african republic and chad	PEACEKEEPERS
united nations mission in the sudan	PEACEKEEPERS
united nations observer group in central america	PEACEKEEPERS
united nations observer mission in el salvador	PEACEKEEPERS
united nations mission in haiti	PEACEKEEPERS
united nations support mission in haiti	PEACEKEEPERS
united nations verification mission in guatemala	PEACEKEEPERS
united nations transition mission in haiti	PEACEKEEPERS
united nations civilian police mission in haiti	PEACEKEEPERS
united nations general assembly international civilian support mission in haiti	PEACEKEEPERS
united nations security force in west new guinea	PEACEKEEPERS
united nations india-pakistan observation mission	PEACEKEEPERS
united nations good offices mission in afghanistan and pakistan	PEACEKEEPERS
united nations advance mission in cambodia	PEACEKEEPERS
united nations transitional authority in cambodia	PEACEKEEPERS
united nations mission of observers in tajikistan	PEACEKEEPERS
united nations mission in east timor	PEACEKEEPERS
the united nations transitional administration in east timor	PEACEKEEPERS
united nations mission of support in east timor	PEACEKEEPERS
united nations integrated mission in timor-leste	PEACEKEEPERS
united nations protection force	PEACEKEEPERS
united nations observer mission in georgia	PEACEKEEPERS
united nations confidence restoration operation	PEACEKEEPERS
united nations mission in bosnia and herzegovina	PEACEKEEPERS
united nations preventive deployment force	PEACEKEEPERS
united nations transitional authority in eastern slavonia baranja and western sirmium	PEACEKEEPERS
united nations mission of observers in prevlaka	PEACEKEEPERS
united nations civilian police support group	PEACEKEEPERS
united nations iran-iraq military observer group	PEACEKEEPERS
united nations iraq-kuwait observation mission	PEACEKEEPERS
united nations supervision mission in syria	PEACEKEEPERS
united nations mission for the referendum in western sahara	PEACEKEEPERS
united nations mission in liberia	PEACEKEEPERS
united nations operation in cote d'ivoire	PEACEKEEPERS
united nations/african union mission in darfur	PEACEKEEPERS
united nations organization stabilization mission in the democratic republic of the congo	PEACEKEEPERS
united nations interim security force for abyei	PEACEKEEPERS
united nations mission in the republic of south sudan	PEACEKEEPERS
united nations support mission in libya	PEACEKEEPERS
multidimensional integrated stabilization mission in mali	PEACEKEEPERS
international support mission in the central african republic	PEACEKEEPERS
united nations stabilization mission in haiti	PEACEKEEPERS
united nations military observer group in india and pakistan	PEACEKEEPERS
united nations assistance mission in afghanistan	PEACEKEEPERS
united nations truce supervision organization	PEACEKEEPERS
united nations disengagement observer force	PEACEKEEPERS
united nations interim force in lebanon	PEACEKEEPERS
united nations peacekeeping force in cyprus	PEACEKEEPERS
united nations interim administration mission in kosovo	PEACEKEEPERS
unmik	PEACEKEEPERS
onuc	PEACEKEEPERS
unavem	PEACEKEEPERS
onumoz	PEACEKEEPERS
unomil	PEACEKEEPERS
unamsil	PEACEKEEPERS
unmee	PEACEKEEPERS
onub	PEACEKEEPERS
monuc	PEACEKEEPERS
minurcat	PEACEKEEPERS
unmis	PEACEKEEPERS
minugua	PEACEKEEPERS
onusal	PEACEKEEPERS
unmih	PEACEKEEPERS
ungomap	PEACEKEEPERS
unamic	PEACEKEEPERS
untac	PEACEKEEPERS
unmot	PEACEKEEPERS
unamet	PEACEKEEPERS
untaet	PEACEKEEPERS
unmiset	PEACEKEEPERS
unmit	PEACEKEEPERS
unprofor	PEACEKEEPERS
unomig	PEACEKEEPERS
uncro	PEACEKEEPERS
unmibh	PEACEKEEPERS
unpredep	PEACEKEEPERS
unmop	PEACEKEEPERS
unyom	PEACEKEEPERS
uniimog	PEACEKEEPERS
unikom	PEACEKEEPERS
unsmis	PEACEKEEPERS
minurso	PEACEKEEPERS
unmil	PEACEKEEPERS
unoci	PEACEKEEPERS
unamid	PEACEKEEPERS
monusco	PEACEKEEPERS
unisfa	PEACEKEEPERS
unmiss	PEACEKEEPERS
unsmil	PEACEKEEPERS
minusma	PEACEKEEPERS
misca	PEACEKEEPERS
minustah	PEACEKEEPERS
unmogip	PEACEKEEPERS
unama	PEACEKEEPERS
untso	PEACEKEEPERS
undof	PEACEKEEPERS
unifil	PEACEKEEPERS
unificyp	PEACEKEEPERS
ecomog	PEACEKEEPERS
amisom	PEACEKEEPERS
police	SECURITY SERVICES
policeman	SECURITY SERVICES
policemen	SECURITY SERVICES
policewoman	SECURITY SERVICES
policewomen	SECURITY SERVICES
national guard	SECURITY SERVICES
national guardsmen	SECURITY SERVICES
national guardsman	SECURITY SERVICES
security service	SECURITY SERVICES
security apparatus	SECURITY SERVICES
security force	SECURITY SERVICES
law enforcement	SECURITY SERVICES
guardsmen	SECURITY SERVICES
constabulary	SECURITY SERVICES
constable	SECURITY SERVICES
peace officer	SECURITY SERVICES
peaceofficer	SECURITY SERVICES
gendarmerie	SECURITY SERVICES
gendarmery	SECURITY SERVICES
mounties	SECURITY SERVICES
social movement	SOCIAL MOVEMENT
mass movement	SOCIAL MOVEMENT
popular movement	SOCIAL MOVEMENT
political movement	SOCIAL MOVEMENT
equality movement	SOCIAL MOVEMENT
movement for equality	SOCIAL MOVEMENT
rights movement	SOCIAL MOVEMENT
movement for recognition of rights	SOCIAL MOVEMENT
movement for rights	SOCIAL MOVEMENT
rights movements	SOCIAL MOVEMENT
social activist	SOCIAL MOVEMENT
opposition movement	SOCIAL MOVEMENT
nationalist movement	NATIONAL MOVEMENT
national liberation movement	NATIONAL MOVEMENT
national liberation struggle	NATIONAL MOVEMENT
autonomy movement	NATIONAL MOVEMENT
struggle for national liberation	NATIONAL MOVEMENT
movement for national liberation	NATIONAL MOVEMENT
youth movement	YOUTH MOVEMENT
youth organization	YOUTH MOVEMENT
youth organisation	YOUTH MOVEMENT
labor movement	ECONOMIC MOVEMENT
worker movement	ECONOMIC MOVEMENT
worker struggle	ECONOMIC MOVEMENT
labor struggle	ECONOMIC MOVEMENT
struggle for labor	ECONOMIC MOVEMENT
struggle for worker	ECONOMIC MOVEMENT
occupy movement	ECONOMIC MOVEMENT
occupy movements	ECONOMIC MOVEMENT
occupy wall street	ECONOMIC MOVEMENT
anti globalization movement	ECONOMIC MOVEMENT
religious movement	RELIGIOUS MOVEMENT
women's activist	WOMENS MOVEMENT
women's activism	WOMENS MOVEMENT
women's movement	WOMENS MOVEMENT
anti violence against women	WOMENS MOVEMENT
women's ngo	WOMENS MOVEMENT
women's ngos	WOMENS MOVEMENT
women's rights	WOMENS MOVEMENT
women's organization	WOMENS MOVEMENT
women's empowerment	WOMENS MOVEMENT
gender equality	WOMENS MOVEMENT
climate change movement	ENVIRONMENTAL MOVEMENT
climate change movements	ENVIRONMENTAL MOVEMENT
environmental movement	ENVIRONMENTAL MOVEMENT
environmental movements	ENVIRONMENTAL MOVEMENT
environmental activism	ENVIRONMENTAL MOVEMENT
environmental activist	ENVIRONMENTAL MOVEMENT
environmental activists	ENVIRONMENTAL MOVEMENT
environmental campaign	ENVIRONMENTAL MOVEMENT
gmo movement	ENVIRONMENTAL MOVEMENT
gmo movements	ENVIRONMENTAL MOVEMENT
ecology movement	ENVIRONMENTAL MOVEMENT
ecology movements	ENVIRONMENTAL MOVEMENT
conservationists	ENVIRONMENTAL MOVEMENT
anti global warming	ENVIRONMENTAL MOVEMENT
global warming movement	ENVIRONMENTAL MOVEMENT
global warming activist	ENVIRONMENTAL MOVEMENT
global warming activists	ENVIRONMENTAL MOVEMENT
climate change activist	ENVIRONMENTAL MOVEMENT
climate change activists	ENVIRONMENTAL MOVEMENT
campaigns against climate change	ENVIRONMENTAL MOVEMENT
campaign against climate change	ENVIRONMENTAL MOVEMENT
political prisoner	POLITICAL PRISONER
labor camp	POLITICAL PRISONER
gulag	POLITICAL PRISONER
displaced people	REFUGEES
displaced person	REFUGEES
idps	REFUGEES
refugee	REFUGEES
asylum seeker	REFUGEES
stateless person	REFUGEES
stateless people	REFUGEES
forced migration	REFUGEES
forced migrant	REFUGEES
forced relocation	REFUGEES
unions	LABOR UNIONS
labor union	LABOR UNIONS
labour union	LABOR UNIONS
trade union	LABOR UNIONS
union leader	LABOR UNIONS
union leadership	LABOR UNIONS
union member	LABOR UNIONS
union membership	LABOR UNIONS
union steward	LABOR UNIONS
union stewards	LABOR UNIONS
shop steward	LABOR UNIONS
shop stewards	LABOR UNIONS
organized labor	LABOR UNIONS
organized labour	LABOR UNIONS
organised labour	LABOR UNIONS
work federation	LABOR UNIONS
unionized	LABOR UNIONS
unionizing	LABOR UNIONS
unionizes	LABOR UNIONS
collective bargaining	LABOR UNIONS
american federation of labor	LABOR UNIONS
afl	LABOR UNIONS
afl cio	LABOR UNIONS
teamsters	LABOR UNIONS
abdullah azzam brigade	NAMED TERROR GROUP
abdullah azzam brigades	NAMED TERROR GROUP
abdullah azzam shaheed brigade	NAMED TERROR GROUP
abdullah azzam shaheed brigades	NAMED TERROR GROUP
abdurajak janjalani brigade	NAMED TERROR GROUP
abdurajak janjalani brigades	NAMED TERROR GROUP
abu bakar battalion	NAMED TERROR GROUP
abu bakar battalions	NAMED TERROR GROUP
abu dujana al afghani	NAMED TERROR GROUP
abu dujana al afghanis	NAMED TERROR GROUP
abu hafs al masri brigade	NAMED TERROR GROUP
abu nayaf al afghani	NAMED TERROR GROUP
abu nayaf al afghanis	NAMED TERROR GROUP
abu nidal organization	NAMED TERROR GROUP
abu nidal organisation	NAMED TERROR GROUP
abu sayyaf	NAMED TERROR GROUP
abu sayyafs	NAMED TERROR GROUP
abu sihel movement	NAMED TERROR GROUP
accolta nazinuale corsa	NAMED TERROR GROUP
aceh security disturbance movement	NAMED TERROR GROUP
achik national volunteer council	NAMED TERROR GROUP
action committee of winegrowers	NAMED TERROR GROUP
aden abyan islamic army	NAMED TERROR GROUP
aden abyan islamic army	NAMED TERROR GROUP
aden islamic army	NAMED TERROR GROUP
afrikaner resistance movement	NAMED TERROR GROUP
afro american liberation army	NAMED TERROR GROUP
al ahwal brigades	NAMED TERROR GROUP
al ahwal horrors brigades	NAMED TERROR GROUP
al aqsa foundation	NAMED TERROR GROUP
al aqsa martyrs brigades	NAMED TERROR GROUP
al arifeen squad	NAMED TERROR GROUP
al badhr mujahidin	NAMED TERROR GROUP
al badhr mujahidins	NAMED TERROR GROUP
al badr	NAMED TERROR GROUP
jiash e muhammad	NAMED TERROR GROUP
jaish e mohammad	NAMED TERROR GROUP
jaish e muhammad	NAMED TERROR GROUP
jaish e mohammed	NAMED TERROR GROUP
albanian national army	NAMED TERROR GROUP
al bara bin malek brigades	NAMED TERROR GROUP
al bara bin malek martyrs brigade	NAMED TERROR GROUP
alejo calatayu	NAMED TERROR GROUP
alex boncayao brigade	NAMED TERROR GROUP
al faran	NAMED TERROR GROUP
al faruq brigade	NAMED TERROR GROUP
al fatah uprising	NAMED TERROR GROUP
al fuqra	NAMED TERROR GROUP
al fursan brigade	NAMED TERROR GROUP
al gama a al islamiyya	NAMED TERROR GROUP
al gamaa al islamiyya	NAMED TERROR GROUP
al gama a al islamiyyas	NAMED TERROR GROUP
al gamaa al islamiyyas	NAMED TERROR GROUP
al gamat al islamiya	NAMED TERROR GROUP
al gamat al islamiyas	NAMED TERROR GROUP
al ghurabaa	NAMED TERROR GROUP
al harakat al islamiyah	NAMED TERROR GROUP
al haramain foundation	NAMED TERROR GROUP
al haramayn brigade	NAMED TERROR GROUP
al hassan al basri battalion	NAMED TERROR GROUP
al hizb a suri al qawmi al ijtimaee	NAMED TERROR GROUP
al hizb ul islam	NAMED TERROR GROUP
alianca libertadora nacional	NAMED TERROR GROUP
al imam al hassan al basri brigade	NAMED TERROR GROUP
al intiqami al pakistani	NAMED TERROR GROUP
al islambouli brigades	NAMED TERROR GROUP
al islambouli brigades of al qaeda	NAMED TERROR GROUP
al islambouli brigades of al qaedas	NAMED TERROR GROUP
ansar beit al maqdis	NAMED TERROR GROUP
ansar bait al maqdis	NAMED TERROR GROUP
mombasa republican council	NAMED TERROR GROUP
al islambouli brigade	NAMED TERROR GROUP
al itihaad al islamiya	NAMED TERROR GROUP
al itihaad al islamiyas	NAMED TERROR GROUP
al ittihaad al islami	NAMED TERROR GROUP
al ittihaad al islamis	NAMED TERROR GROUP
islamic state of iraq	NAMED TERROR GROUP
ad dawla al islamiyya fi al irāq wa sh sham	NAMED TERROR GROUP
al jabha al dimuqratiyya li tahrir filastin	NAMED TERROR GROUP
al jabha ash shaabiya li tahrir falastin	NAMED TERROR GROUP
al jamaa al islamiyyah al muqatilah bi libya	NAMED TERROR GROUP
al jamaah al islamiyah al musallah	NAMED TERROR GROUP
al jamaah al islamiyah al musallahs	NAMED TERROR GROUP
al jihad	NAMED TERROR GROUP
al jihad al islami	NAMED TERROR GROUP
all burma students democratic front	NAMED TERROR GROUP
allied democratic forces	NAMED TERROR GROUP
all india jihad committee	NAMED TERROR GROUP
all tripura tiger force	NAMED TERROR GROUP
all tripura tribal force	NAMED TERROR GROUP
al madina group	NAMED TERROR GROUP
al madinah group	NAMED TERROR GROUP
al madina regiment	NAMED TERROR GROUP
al mansoorain	NAMED TERROR GROUP
al medina group	NAMED TERROR GROUP
al nawaz	NAMED TERROR GROUP
al omar mujahideen	NAMED TERROR GROUP
al qaeda	NAMED TERROR GROUP
al qaeda in iraq	NAMED TERROR GROUP
al qaeda in the arabian peninsula	NAMED TERROR GROUP
al qaida in the arabian peninsula	NAMED TERROR GROUP
al qa'ida in the arabian peninsula	NAMED TERROR GROUP
aqap	NAMED TERROR GROUP
al qaeda in the islamic maghreb	NAMED TERROR GROUP
al qa‘ida in the lands of the islamic maghreb	NAMED TERROR GROUP
al qaida in the lands of the islamic maghreb	NAMED TERROR GROUP
al qaeda in the lands of the islamic maghreb	NAMED TERROR GROUP
al qaeda in mesopotamia	NAMED TERROR GROUP
aqim	NAMED TERROR GROUP
salafist group for preaching and combat	NAMED TERROR GROUP
groupe salafiste pour la predication et le combat	NAMED TERROR GROUP
qaedat al jihad ﬁ bilad al maghrib al islami	NAMED TERROR GROUP
al qaeda organization	NAMED TERROR GROUP
al qaida	NAMED TERROR GROUP
al qaida in syria	NAMED TERROR GROUP
al qaida in egypt	NAMED TERROR GROUP
al qanoon	NAMED TERROR GROUP
al sadr brigade	NAMED TERROR GROUP
al shabaab	NAMED TERROR GROUP
el shabaab	NAMED TERROR GROUP
al tawhid	NAMED TERROR GROUP
al umar mujahideen	NAMED TERROR GROUP
al umma	NAMED TERROR GROUP
all india jihad committee	NAMED TERROR GROUP
al zarqawi network	NAMED TERROR GROUP
al zulfikar	NAMED TERROR GROUP
anarchist faction	NAMED TERROR GROUP
anarchist faction for subversion	NAMED TERROR GROUP
anarchist liberation brigade	NAMED TERROR GROUP
anarchist street patrol	NAMED TERROR GROUP
andres castro united front	NAMED TERROR GROUP
animal liberation front	NAMED TERROR GROUP
anjuman sipah e sahaba	NAMED TERROR GROUP
anjuman sipah e sahabas	NAMED TERROR GROUP
ansar al din	NAMED TERROR GROUP
ansar al islam	NAMED TERROR GROUP
ansar al jihad	NAMED TERROR GROUP
ansar allah	NAMED TERROR GROUP
ansar allahs	NAMED TERROR GROUP
ansar al qaeda europe	NAMED TERROR GROUP
ansar al qaeda europes	NAMED TERROR GROUP
ansar al sharia	NAMED TERROR GROUP
ansar al sunnah army	NAMED TERROR GROUP
ansar dine	NAMED TERROR GROUP
ansaru	NAMED TERROR GROUP
anti american arab liberation front	NAMED TERROR GROUP
anti armenian organization	NAMED TERROR GROUP
anti capitalist attack nuclei	NAMED TERROR GROUP
anti imperialist cell	NAMED TERROR GROUP
anti imperialist international brigade	NAMED TERROR GROUP
anti imperialist territorial nuclei	NAMED TERROR GROUP
anti terrorist liberation group	NAMED TERROR GROUP
anti zionist movement	NAMED TERROR GROUP
apo's revenge hawks	NAMED TERROR GROUP
apo'nun intikam sahinler	NAMED TERROR GROUP
apo's youth revenge brigade	NAMED TERROR GROUP
april 19 movement	NAMED TERROR GROUP
arab communist organization	NAMED TERROR GROUP
arab communist revolutionary party	NAMED TERROR GROUP
arab liberation front	NAMED TERROR GROUP
arab national youth organization	NAMED TERROR GROUP
arab revolutionary brigade	NAMED TERROR GROUP
arab revolutionary council	NAMED TERROR GROUP
armata corsa	NAMED TERROR GROUP
armata di liberazione naziunale	NAMED TERROR GROUP
armed berber group	NAMED TERROR GROUP
armed communist combatants	NAMED TERROR GROUP
armed communist league	NAMED TERROR GROUP
armed forces of national liberation	NAMED TERROR GROUP
armed forces of national resistance	NAMED TERROR GROUP
armed islamic group	NAMED TERROR GROUP
armed islamic group of algeria	NAMED TERROR GROUP
armed islamic groups	NAMED TERROR GROUP
armed nationalist revolutionary faction	NAMED TERROR GROUP
armed revolutionary action	NAMED TERROR GROUP
armed revolutionary left	NAMED TERROR GROUP
armee islamique du salut	NAMED TERROR GROUP
armenian red army	NAMED TERROR GROUP
armenian red armys	NAMED TERROR GROUP
armenian resistance group	NAMED TERROR GROUP
armenian revolutionary army	NAMED TERROR GROUP
army of god	NAMED TERROR GROUP
army of islam	NAMED TERROR GROUP
army of islamic salvation	NAMED TERROR GROUP
army of jhangvi	NAMED TERROR GROUP
army of mohammed	NAMED TERROR GROUP
army of muhammed	NAMED TERROR GROUP
army of national liberation	NAMED TERROR GROUP
army of the levant	NAMED TERROR GROUP
army of the prophet	NAMED TERROR GROUP
army of the pure	NAMED TERROR GROUP
army of the righteous	NAMED TERROR GROUP
arnoldo camu command	NAMED TERROR GROUP
arsonists of conscience	NAMED TERROR GROUP
aryan nation	NAMED TERROR GROUP
aryan republican army	NAMED TERROR GROUP
aryan resistance army	NAMED TERROR GROUP
asaib ahl al haq	NAMED TERROR GROUP
asbat al ansar	NAMED TERROR GROUP
association for solidarity perspectives	NAMED TERROR GROUP
association of revolutionary workers	NAMED TERROR GROUP
august 23 movement	NAMED TERROR GROUP
aum aleph	NAMED TERROR GROUP
aum supreme truth	NAMED TERROR GROUP
aum shinrikyo	NAMED TERROR GROUP
aum shinsen	NAMED TERROR GROUP
aum shinri kyo	NAMED TERROR GROUP
autonomia sinistra ante parlamentare	NAMED TERROR GROUP
autonomous cell of rebel action	NAMED TERROR GROUP
azad hind sena	NAMED TERROR GROUP
baader meinhof gang	NAMED TERROR GROUP
baader meinhof group	NAMED TERROR GROUP
babbar khalsa	NAMED TERROR GROUP
babbar khalsa international	NAMED TERROR GROUP
badr forces	NAMED TERROR GROUP
bagramyan battalion	NAMED TERROR GROUP
balochistan liberation army	NAMED TERROR GROUP
baloch liberation army	NAMED TERROR GROUP
baluchistan liberation army	NAMED TERROR GROUP
barisan revolusi nasional melayu pattani	NAMED TERROR GROUP
basque fatherland and freedom	NAMED TERROR GROUP
basque fatherland and liberty	NAMED TERROR GROUP
basque homeland and freedom	NAMED TERROR GROUP
bavarian liberation army	NAMED TERROR GROUP
bhutan tiger force	NAMED TERROR GROUP
biplobi communist party	NAMED TERROR GROUP
birsa commando force	NAMED TERROR GROUP
black brigade of lebanon	NAMED TERROR GROUP
black liberation army	NAMED TERROR GROUP
black panther	NAMED TERROR GROUP
black revolutionary assault team	NAMED TERROR GROUP
bodo liberation tiger force	NAMED TERROR GROUP
bodo liberation tigers	NAMED TERROR GROUP
bodo security force	NAMED TERROR GROUP
bodu bala sena	NAMED TERROR GROUP
boko haram	NAMED TERROR GROUP
boko harem	NAMED TERROR GROUP
bolivarian guerrilla movement	NAMED TERROR GROUP
bolivarian liberation force	NAMED TERROR GROUP
borok national council of tripura	NAMED TERROR GROUP
bougainville revolutionary army	NAMED TERROR GROUP
breton revolutionary army	NAMED TERROR GROUP
brigades of imam al hassan al basri	NAMED TERROR GROUP
bushnegro jungle commandos	NAMED TERROR GROUP
cambodian freedom fighters	NAMED TERROR GROUP
carapaica revolutionary group	NAMED TERROR GROUP
carapaica revolutionary movement	NAMED TERROR GROUP
catholic reaction force	NAMED TERROR GROUP
caucasus emirate	NAMED TERROR GROUP
chaotic attack front	NAMED TERROR GROUP
charles martel group	NAMED TERROR GROUP
che guevara brigade	NAMED TERROR GROUP
che guevara international brigade	NAMED TERROR GROUP
christian anti moslem organization	NAMED TERROR GROUP
christian defense league	NAMED TERROR GROUP
christian identity movement	NAMED TERROR GROUP
christian patriots defense league	NAMED TERROR GROUP
chukaku ha	NAMED TERROR GROUP
cinchonero peoples liberation movement	NAMED TERROR GROUP
cinchoneros popular liberation movement	NAMED TERROR GROUP
clandestini corsi	NAMED TERROR GROUP
combatant fighting nucleus	NAMED TERROR GROUP
combatant proletarian nucleus	NAMED TERROR GROUP
communist combatant cell	NAMED TERROR GROUP
communist combatant party	NAMED TERROR GROUP
communist league of west germany	NAMED TERROR GROUP
communist party of germany	NAMED TERROR GROUP
communist party of india	NAMED TERROR GROUP
communist party of india  janashakti	NAMED TERROR GROUP
communist party of marxist leninist	NAMED TERROR GROUP
communist party of marxists leninists	NAMED TERROR GROUP
communist party of nepal maoist	NAMED TERROR GROUP
communist party of the philippines	NAMED TERROR GROUP
communist party of turkey	NAMED TERROR GROUP
communist revolutionaries in europe	NAMED TERROR GROUP
communist worker movement	NAMED TERROR GROUP
congolese democratic coalition	NAMED TERROR GROUP
congolese rally for democracy	NAMED TERROR GROUP
conscientious arsonists	NAMED TERROR GROUP
conspiracy of fire nuclei	NAMED TERROR GROUP
continuity army council	NAMED TERROR GROUP
continuity ira	NAMED TERROR GROUP
real ira	NAMED TERROR GROUP
true ira	NAMED TERROR GROUP
continuity irish republican army	NAMED TERROR GROUP
contras	NAMED TERROR GROUP
cornish national liberation army	NAMED TERROR GROUP
corsican army	NAMED TERROR GROUP
corsican patriotic front	NAMED TERROR GROUP
corsican revolutionary armed forces	NAMED TERROR GROUP
corsican revolutionary armed front	NAMED TERROR GROUP
croatian democratic union	NAMED TERROR GROUP
croatian freedom fighters	NAMED TERROR GROUP
cuban liberator army	NAMED TERROR GROUP
cumann na mban	NAMED TERROR GROUP
cypriot nationalist organization	NAMED TERROR GROUP
dagestan liberation army	NAMED TERROR GROUP
dakshin desh	NAMED TERROR GROUP
deccan mujahedin	NAMED TERROR GROUP
december 20 movement	NAMED TERROR GROUP
december 20 torrijist patriotic vanguard	NAMED TERROR GROUP
deendar anjuman	NAMED TERROR GROUP
democratic karen buddhist army	NAMED TERROR GROUP
democratic karen buddhist association	NAMED TERROR GROUP
democratic karen buddhist organization	NAMED TERROR GROUP
democratic party of angola	NAMED TERROR GROUP
democratic peoples unions	NAMED TERROR GROUP
dukhtaran e millat	NAMED TERROR GROUP
earth liberation front	NAMED TERROR GROUP
eastern turkistan islamic movement	NAMED TERROR GROUP
eastern turkistan islamic party	NAMED TERROR GROUP
eastern turkistan liberation organization	NAMED TERROR GROUP
east turkestan information center	NAMED TERROR GROUP
east turkestan islamic movement	NAMED TERROR GROUP
east turkestan liberation organization	NAMED TERROR GROUP
east turkestan party	NAMED TERROR GROUP
east turkistan liberation organization	NAMED TERROR GROUP
ecuadorian rebel force	NAMED TERROR GROUP
egyptian islamic jihad	NAMED TERROR GROUP
ejercito del pueblo en armas	NAMED TERROR GROUP
epb movimiento popular revolucionario	NAMED TERROR GROUP
eritrean islamic jihad	NAMED TERROR GROUP
eritrean islamic jihad movement	NAMED TERROR GROUP
eritrean liberation front	NAMED TERROR GROUP
eritrean people's liberation front	NAMED TERROR GROUP
eta army	NAMED TERROR GROUP
eta bomber	NAMED TERROR GROUP
eta forces	NAMED TERROR GROUP
eta soldier	NAMED TERROR GROUP
eta terrorist	NAMED TERROR GROUP
ethiopian people's revolutionary army	NAMED TERROR GROUP
factions armees revolutionnaires libanaises	NAMED TERROR GROUP
fallujah mujahideen	NAMED TERROR GROUP
farabundo marti national liberation front	NAMED TERROR GROUP
farabundo marti popular liberation force	NAMED TERROR GROUP
farc	NAMED TERROR GROUP
fatah abu musa	NAMED TERROR GROUP
fatah revolutionary council	NAMED TERROR GROUP
fatherland and liberty nationalist front	NAMED TERROR GROUP
february 28 popular leagues	NAMED TERROR GROUP
fedayeen al islam	NAMED TERROR GROUP
fedayeen khalq	NAMED TERROR GROUP
fedayeen khalq organization	NAMED TERROR GROUP
fedayeen khalqs	NAMED TERROR GROUP
fighting guerrillas of may	NAMED TERROR GROUP
fighting islamic group	NAMED TERROR GROUP
first october anti fascist resistance group	NAMED TERROR GROUP
first october antifascist resistance group	NAMED TERROR GROUP
fourth reich skinheads	NAMED TERROR GROUP
free aceh movement	NAMED TERROR GROUP
gerakan aceh merdeka	NAMED TERROR GROUP
acheh sumatra national liberation front	NAMED TERROR GROUP
freedom german workers party	NAMED TERROR GROUP
free papua movement	NAMED TERROR GROUP
friends of freedom for germany	NAMED TERROR GROUP
front for defenders of islam	NAMED TERROR GROUP
front islamique du salut	NAMED TERROR GROUP
front of justice and revenge	NAMED TERROR GROUP
fuerzas armadas de liberation nacional	NAMED TERROR GROUP
gazteriak	NAMED TERROR GROUP
german communist party	NAMED TERROR GROUP
german comradeship league of wilhelmshaven	NAMED TERROR GROUP
german homeland association	NAMED TERROR GROUP
german people's union	NAMED TERROR GROUP
god's oppressed army	NAMED TERROR GROUP
golden dawn	NAMED TERROR GROUP
gora euskadi askatuta	NAMED TERROR GROUP
great eastern islamic raiders' front	NAMED TERROR GROUP
greek anti dictatorial youth	NAMED TERROR GROUP
greek anti regime movement laos 11	NAMED TERROR GROUP
greek bulgarian armenian front	NAMED TERROR GROUP
greek liberation army	NAMED TERROR GROUP
group of carlo giuliani	NAMED TERROR GROUP
group revolutionary reconstruction	NAMED TERROR GROUP
guadeloupe liberation army	NAMED TERROR GROUP
guardsmen of islam	NAMED TERROR GROUP
guatemalan labor party	NAMED TERROR GROUP
guatemalan national revolutionary unity	NAMED TERROR GROUP
guerrilla army of the poor	NAMED TERROR GROUP
guevarista revolutionary army	NAMED TERROR GROUP
gush emunim	NAMED TERROR GROUP
gwenn ha du	NAMED TERROR GROUP
hamas	NAMED TERROR GROUP
hamas of iraq	NAMED TERROR GROUP
hammerskin nation	NAMED TERROR GROUP
haqqani network	NAMED TERROR GROUP
harakat al jihad al islami fi filastin	NAMED TERROR GROUP
harakat al muqawammah al islammiyya	NAMED TERROR GROUP
harakat al shuhada'a al islamiyah	NAMED TERROR GROUP
harakat ul alami	NAMED TERROR GROUP
harakat ul jihad i islami	NAMED TERROR GROUP
harakat ul mujahideen	NAMED TERROR GROUP
harakat ul mujahidin	NAMED TERROR GROUP
harkat al jihad al islami in bangladesh	NAMED TERROR GROUP
harkat mujahideen	NAMED TERROR GROUP
harkat ul ansar	NAMED TERROR GROUP
harkat ul jihad al islami	NAMED TERROR GROUP
harkat ul mujahideen	NAMED TERROR GROUP
hassan al basri brigade	NAMED TERROR GROUP
hawiyah islamic force	NAMED TERROR GROUP
hawks of thrace	NAMED TERROR GROUP
hezb e islami gulbuddin	NAMED TERROR GROUP
hezbollah	NAMED TERROR GROUP
hezbollah external security organisation	NAMED TERROR GROUP
hezbollah external security organization	NAMED TERROR GROUP
hezbollah military wing	NAMED TERROR GROUP
hikmat ul jihad	NAMED TERROR GROUP
hikmat ul zihad	NAMED TERROR GROUP
hikmatul zihad	NAMED TERROR GROUP
hilafet devleti	NAMED TERROR GROUP
hindu sena rashtriya sangh party	NAMED TERROR GROUP
hizballah	NAMED TERROR GROUP
hizb an nusra	NAMED TERROR GROUP
hizb e abu omar	NAMED TERROR GROUP
hizb e islami	NAMED TERROR GROUP
hizb i islami	NAMED TERROR GROUP
hizbul i islami	NAMED TERROR GROUP
hizbul islam	NAMED TERROR GROUP
hizb ul mujahideen	NAMED TERROR GROUP
hizbul mujahideen	NAMED TERROR GROUP
hizb ul mujahidin	NAMED TERROR GROUP
hizbul qowmy al araby al jabarty	NAMED TERROR GROUP
hizb ut tahrir	NAMED TERROR GROUP
jamaat e islami	NAMED TERROR GROUP
hofstad network	NAMED TERROR GROUP
imam hussein brigade	NAMED TERROR GROUP
imperial klans of america	NAMED TERROR GROUP
independent armed revolutionary movement	NAMED TERROR GROUP
indian mujahideen	NAMED TERROR GROUP
