Paraguay;River Plate SA, BBC SA;Brazil;Livestock;[2002] Concluded (Contract signed);30783;
Paraguay;Compañia Argentina de Tierras;Argentina;Other (please specify);[2013] Intended (Expression of interest);;
Peru;Grupo SEM;Chile;Food crops;[2009] Concluded (Contract signed);51700;
Peru;Acuícola R. Mustafá;Peru;Agriunspecified;[2009] Concluded (Contract signed);1500;
Peru;Agrícola Athos;Peru;Food crops;[2009] Concluded (Contract signed);500;Pomegranate, Fig-Nut
Peru;Agricola Chapi S.A.;Peru;Food crops;[2009] Concluded (Contract signed);590;Flowers, Grapes, Vegetables
Peru;Agrícola Santa Lucía S.A, Intragrícola Valores S.A.C, Diano Mariana Inversiones S.A.C;Peru;Food crops;[2009] Concluded (Contract signed);3200;Mango, Grapes, Pepper , Fruit, Vegetables
Peru;Grupo Gloria;Peru;Biofuels, Food crops, Industry;[2009] Concluded (Contract signed);12337;Sugar Cane
Peru; Alberto Caparó ;Peru;Agriunspecified;[2009] Concluded (Contract signed);4300;
Peru;DYER-CORIAT HOLDING, S.L, DEUTSCHE BANK AG, ANDEAN FISCHING L.L.C, FONDO DE INVERSIÓN AGROINDUSTRIAL, CLEARSTREAM BANKING S.A., SOUTH WINDS AS;Peru, Germany, United States of America, Luxembourg;Food crops;[2009] Concluded (Contract signed);3300;Food crops (no specification), Vegetables
Peru;Grupo Gloria;Peru;Biofuels, Food crops, Industry;[2007] Concluded (Contract signed);11000;Sugar Cane
Peru;Grupo Gloria;Peru;Biofuels, Food crops, Industry;[2006] Concluded (Contract signed);29383;Sugar Cane
Peru;Grupo Gloria;Peru;Biofuels, Food crops, Industry;[2006] Concluded (Contract signed);3200;Sugar Cane
Peru;Grupo Oviedo;Peru;Biofuels, Food crops, Industry;[2004] Concluded (Contract signed);10000;Sugar Cane
Peru;Grupo Gloria;Peru;Biofuels, Food crops, Industry;[2007] Concluded (Contract signed);1414;Sugar Cane
Peru;Grupo Oviedo;Peru;Biofuels, Food crops, Industry;[2007] Concluded (Contract signed);11800;Sugar Cane
Peru;Grupo Romero;Peru;Biofuels;[2006] Concluded (Contract signed);3000;Oil Palm
Peru;Grupo Romero;Peru;Biofuels;[2006] Concluded (Contract signed);7000;Oil Palm
Peru;Grupo Romero;Peru;Biofuels;[2006] Concluded (Contract signed);9500;Sugar Cane
Peru;Sociedad Agrícola Saturno S.A;Peru;Food crops;[2009] Concluded (Contract signed);1000;Mango, Grapes, Pepper 
Peru;EAA Andahuasi, Grupo Wong, Grupo Bustamante;Peru;Biofuels, Food crops, Industry;[2009] Concluded (Contract signed);7200;Sugar Cane
Peru;Industrial Pucalá S.A. ;Peru;Biofuels, Food crops, Industry;[2007] Concluded (Contract signed);6500;Sugar Cane
Peru;IQF del Perú S.A.;Peru;Food crops;[2009] Concluded (Contract signed);912;Vegetables
Peru;Eco América;Democratic People's Republic of Korea;Agriunspecified, For wood and fibre, Livestock;[2011] Failed (Contract canceled);72000;
Uruguay;UPM;Finland;For wood and fibre;[2009] Concluded (Contract signed);200000;Eucalyptus
Uruguay;Ernesto Correa;Brazil;Livestock;[2003] Concluded (Contract signed);100000;
Uruguay;Weyerhaeuser Company;United States of America;For wood and fibre;[2007] Concluded (Contract signed);140000;Eucalyptus, Pine
Uruguay;El Tejar Ltd.;Argentina;Food crops;[2002] Concluded (Contract signed);100000;Barley, Sorghum, Corn (Maize), Soya Beans, Wheat
Uruguay;Pergam Finance, Bellamar Estancias SA;France, Argentina;Food crops, Livestock;[2008] Concluded (Contract signed);6561;Fodder Plants, Sorghum, Corn (Maize), Rice, Soya Beans
Uruguay;Soros Fund Management, Qatar Investment Authority (QIA);United States of America, Qatar;Food crops;[2004] Concluded (Contract signed);3177;Barley, Sun Flower, Soya Beans, Wheat
Venezuela (Bolivarian Republic of);Beidahuang;China;Food crops;[2013] Concluded (Contract signed);60000;Corn (Maize), Rice, Soya Beans
Bulgaria;Agricultural Land Opportunity Fund Mel Invest;Bulgaria;Agriunspecified, Industry;Concluded (Contract signed);5500;
Bulgaria;Bulland Investment;Bulgaria;Agriunspecified;[2005] Concluded (Contract signed);1567;
Bulgaria;Rompharm Company s.r.l.;Romania;Agriunspecified, Other (please specify);[2013] Concluded (Contract signed);18600;Corn (Maize), Rapeseed, Sun Flower, Wheat
Bulgaria; ELANA Agricultural Land Opportunity Fund (ELARG);Bulgaria;Agriunspecified;Concluded (Contract signed);25117;
Bulgaria;Karoll Financial Group;Bulgaria;Agriunspecified;Concluded (Contract signed);22678;
Lithuania;KTG Agrar;Germany;Food crops, Non-food agricultural commodities;Concluded (Contract signed);4650;Rapeseed, Sugar beet, Grains, Vegetables, Wheat
Romania;FirstFarns S.r.l.;Romania;Food crops, Livestock;[2007] Concluded (Contract signed);3700;Corn (Maize), Rapeseed, Sorghum, Sun Flower, Wheat
Romania;INGLEBY FARMS & FORESTS A/S;Denmark;Food crops;[2011] Concluded (Contract signed);1105;Sun Flower, Canola, Corn (Maize), Soya Beans, Wheat
Romania;INGLEBY DENMARK A/S;Denmark;Conservation, Forestunspecified;Concluded (Contract signed);7261;Trees
Romania;Tornator Oyj;Finland;For wood and fibre, Forestunspecified;[2008] Concluded (Contract signed);12000;Trees
Romania;Pharos Financial Group, Miro Holdings International;United Arab Emirates, United Kingdom of Great Britain and Northern Ireland;Food crops;[2009] Intended (Expression of interest);;Barley, Oil Seeds, Grains, Wheat
Russian Federation;Agromino A/S;Estonia;Food crops;[2008] Concluded (Contract signed);282;Sun Flower, Rapeseed, Corn (Maize), Soya Beans, Wheat
Russian Federation;private investors;Iran (Islamic Republic of);Agriunspecified, Industry, Livestock;[2009] Intended (Under negotiation);;Grains
Russian Federation;Agrowill Group AB;Lithuania;Agriunspecified;Concluded (Oral Agreement);40000;Barley, Rapeseed, Wheat
Russian Federation;Agrokultura AB;Sweden;Food crops, Livestock;Concluded (Contract signed);47600;Sun Flower, Corn (Maize), Wheat
Russian Federation;Agrokultura AB;Sweden;Food crops;Concluded (Oral Agreement);8000;Barley, Sun Flower, Rapeseed, Sugar beet, Buckwheat, Corn (Maize), Soya Beans, Wheat
Russian Federation;Agrokultura AB;Sweden;Food crops, Livestock;Concluded (Contract signed);44000;Sun Flower, Corn (Maize), Wheat
Russian Federation;Agrokultura AB;Sweden;Food crops;Concluded (Oral Agreement);13500;Barley, Sun Flower, Rapeseed, Sugar beet, Buckwheat, Corn (Maize), Soya Beans, Wheat
Russian Federation;Agrokultura AB;Sweden;Livestock;Concluded (Oral Agreement);17300;
Russian Federation;Inteko;Russian Federation;Biofuels, Food crops;[2008] Concluded (Oral Agreement);200000;Rapeseed
Russian Federation;OJSC Pava;Russian Federation;Food crops, Industry, Livestock, Non-food agricultural commodities;Concluded (Contract signed);128000;Barley, Sun Flower, Rye, Peas, Wheat
Russian Federation;Hyundai Heavy Industries ;Republic of Korea;Food crops;Concluded (Contract signed);10000;Bean, Corn (Maize)
Russian Federation;Agsen Limited;Turkey;Food crops;[2009] Concluded (Contract signed);65434;Barley, Sun Flower, Oil Seeds, Rye, Wheat
Russian Federation;Erneal Limited;Cyprus;Agriunspecified, Food crops;[2005] Concluded (Contract signed);39918;Barley, Sun Flower, Rapeseed, Sugar beet, Corn (Maize), Grains, Potatoes, Soya Beans, Wheat
Russian Federation;Razgulay Group ;Russian Federation;Food crops, Industry;Concluded (Contract signed);350000;Barley, Sugar beet, Rice, Wheat
Solomon Islands;Kulim (Malaysia) Berhad;Malaysia;Agriunspecified;[2005] Concluded (Contract signed);7741;Oil Palm
Suriname;Forest Returns;Netherlands;Food crops, Forestunspecified, Livestock, Tourism;[2008] Concluded (Contract signed);823;Bamboo, Trees
Ukraine;Agromino A/S;Estonia;Food crops;[2006] Concluded (Contract signed);39623;Sun Flower, Rapeseed, Corn (Maize), Soya Beans, Wheat
Ukraine;Public Investment Fund (PIF) of Saudi Arabia, Saudi Al Rajhi Group, Almarai Co.;Saudi Arabia;Biofuels, Food crops;[2006] Concluded (Contract signed);34000;Barley, Rapeseed, Sugar beet, Corn (Maize), Potatoes, Wheat
Ukraine;Kernel Holding S.A.;Luxembourg;Agriunspecified, Food crops;Concluded (Oral Agreement);44000;Barley, Cereals (no specification), Sun Flower, Rapeseed, Sugar beet, Corn (Maize), Soya Beans, Wheat
Ukraine;Kernel Holding S.A.;Luxembourg;Agriunspecified, Food crops, Livestock;[2006] Concluded (Contract signed);9000;Sun Flower, Sugar beet, Corn (Maize), Wheat
Ukraine;Astarta Holding NV;Netherlands;Biofuels, Food crops, Livestock;Concluded (Contract signed);250000;Barley, Sun Flower, Sugar beet, Corn (Maize), Soya Beans, Wheat
Ukraine;Creative Group;Ukraine;Biofuels, Food crops;Concluded (Contract signed);30000;Barley, Corn (Maize), Grains, Peas, Potatoes, Rapeseed, Sorghum, Soya Beans, Sugar beet, Sun Flower
Ukraine;"JSC ""TAS Group""";Ukraine;Food crops, Livestock;Concluded (Oral Agreement);88000;Barley, Sun Flower, Corn (Maize), Soya Beans, Wheat
Ukraine;  Sintal Agriculture Plc;Cyprus;Agriunspecified, Food crops;Concluded (Contract signed);150000;Barley, Sun Flower, Rapeseed, Corn (Maize), Soya Beans, Wheat
Ukraine;MHP S.E.;Cyprus;Agriunspecified, Food crops;[2008] Concluded (Contract signed);40541;Barley, Sun Flower, Rapeseed, Peas, Corn (Maize), Soya Beans, Wheat
Ukraine;Kernel Holding S.A.;Luxembourg;Agriunspecified, Food crops;[2002] Concluded (Contract signed);349500;Barley, Sun Flower, Rapeseed, Sugar beet, Peas, Corn (Maize), Soya Beans, Wheat
Ukraine;MCB Agricole;Austria;Food crops;Concluded (Contract signed);96000;Rye, Barley, Sun Flower, Rapeseed, Corn (Maize), Wheat
Ukraine;  Mriya Agro Holding Public Limited;Cyprus;Agriunspecified, Food crops;Concluded (Contract signed);184000;Barley, Rapeseed, Sugar beet, Buckwheat, Peas, Corn (Maize), Potatoes, Wheat
Argentina;Cresud S.A.;Argentina;Livestock;[2007] Concluded (Contract signed);100911;
Argentina;Cresud S.A.;Argentina;Food crops;[2008] Concluded (Contract signed);980;Corn (Maize), Soya Beans, Wheat
Argentina;Cresud S.A.;Argentina;Food crops;[2005] Concluded (Contract signed);1946;Corn (Maize), Soya Beans, Wheat
Argentina;Cresud S.A.;Argentina;Food crops, Livestock;[2003] Concluded (Contract signed);8360;Corn (Maize), Sugar Cane
Argentina;Cresud S.A.;Argentina;Food crops, Livestock;[2005] Concluded (Contract signed);6022;Corn (Maize), Soya Beans, Wheat
Argentina;Olmedo Agropecuaria S.A.;Argentina;Food crops;[2000] Concluded (Contract signed);230000;Soya Beans
Argentina;Cresud S.A.;Argentina;Food crops;[2014] Concluded (Contract signed);1058;Corn (Maize), Soya Beans
Argentina;Infinita Renovable,  Isolux Corsán Group, Santander Group, Private Investors;Spain;Biofuels;[2007] Concluded (Contract signed);50000;Rapeseed
Argentina;Soros Fund Management, Qatar Investment Authority (QIA);United States of America, Qatar;Food crops, Livestock;[2002] Concluded (Contract signed);74000;Corn (Maize), Rice, Soya Beans, Wheat
Argentina;Soros Fund Management, Qatar Investment Authority (QIA);United States of America, Qatar;Food crops, Livestock;[2007] Concluded (Contract signed);37273;Rice, Soya Beans
Argentina;Soros Fund Management, Qatar Investment Authority (QIA);United States of America, Qatar;Food crops, Livestock;[2007] Concluded (Contract signed);17495;Corn (Maize), Soya Beans, Wheat
Argentina;Adecoagro S.A., El Tejar Ltd.;Luxembourg, Argentina;Food crops;[2007] Concluded (Contract signed);10848;Corn (Maize), Soya Beans, Wheat
Argentina;Adecoagro S.A., El Tejar Ltd.;Luxembourg, Argentina;Food crops;[2007] Concluded (Contract signed);15451;Corn (Maize), Soya Beans, Wheat
Argentina;Adecoagro S.A., El Tejar Ltd.;Luxembourg, Argentina;Food crops;[2007] Concluded (Contract signed);5236;Corn (Maize), Soya Beans, Wheat
Colombia;Oleoflores;Colombia;Biofuels;[2007] Concluded (Contract signed);15555;Oil Palm
Colombia;Odin Energy Santa Marta Corporation S.A. ;Japan;Biofuels;[2008] Concluded (Contract signed);8000;Oil Palm
Colombia;Daabon Organic;Colombia;Biofuels;[2009] Concluded (Contract signed);22222;Oil Palm
Colombia;Bio D S.A.;Colombia;Biofuels;[2009] Concluded (Contract signed);22222;Oil Palm
Colombia;Ecopetrol SA;Colombia;Biofuels;[2007] Concluded (Contract signed);22222;Oil Palm
Colombia;Aceites Manuelita S.A.;Colombia;Biofuels;[2009] Concluded (Contract signed);22222;Oil Palm
Peru;Maple Energy Plc.;United States of America;Biofuels;[2010] Concluded (Contract signed);13500;Sugar Cane
Peru;Grupo HPO Corp.;Peru;Biofuels;[2011] Concluded (Contract signed);14382;Jatropha
Peru;Pure Biofuels ;United States of America;Biofuels;[2008] Concluded (Contract signed);60000;Oil Palm
Peru;Pure Biofuels ;United States of America;Biofuels;[2008] Intended (Under negotiation);;Oil Palm
Peru;Samoa Fiber Holdings Inc.;United States of America;Biofuels;[2008] Concluded (Contract signed);15000;
Angola;Agri SA;South Africa;;[2009] Intended (Under negotiation);;
Angola;Ridge Solutions;Angola;Food crops, Livestock;Concluded (Contract signed);3500;Corn (Maize), Potatoes, Soya Beans, Wheat
Angola;Gleinol;Portugal;Biofuels;[2008] Concluded (Contract signed);13000;Jatropha
Angola;Chiquita Brands, ESCOM, Hipergesta;United States of America, Portugal, Angola;Food crops;[2009] Failed (Negotiations failed);;Banana
Angola;Government of South Africa;South Africa;;[2009] Intended (Under negotiation);;
Angola;Sonangol, Damer, Odebrecht S.A.;Angola, Brazil;Biofuels, Food crops, Renewable Energy;[2006] Concluded (Contract signed);30000;Sugar Cane
Angola;Lonrho Plc;United Kingdom of Great Britain and Northern Ireland;Food crops;[2009] Concluded (Contract signed);25000;Rice
Angola;Atlantica Group , Nzogi Yetu, Coroa Gest, Lion;Portugal, Angola;Agriunspecified;Concluded (Contract signed);5000;Oil Palm
Angola;ENI, Sonangol;Italy, Angola;Agriunspecified;[2008] Intended (Under negotiation);;Oil Palm
Angola;Quifel Holdings;Portugal;Biofuels, Food crops;[2010] Concluded (Contract signed);10000;Sun Flower, Sesame, Jatropha, Rice, Soya Beans
Benin;Cajaf Comon ;Benin;Agriunspecified, Food crops;Concluded (Contract signed);5000;Corn (Maize), Oil Palm, Soya Beans
Benin;China National Complete Plant Import & Export Corporation;China;Biofuels, Food crops, Renewable Energy;[2003] Concluded (Contract signed);5200;Sugar Cane
Benin;Green Waves;Italy;Biofuels;[2007] Failed (Negotiations failed);200000;Sun Flower, Jatropha
Benin;Libyan African Investment Portfolio;Libya;;Concluded (Contract signed);2000;
Benin;Betexco;Nigeria;Food crops;Concluded (Contract signed);1000;Cassava (Maniok)
Benin;Agritech;Singapore;Biofuels;Concluded (Contract signed);32000;Accacia, Sun Flower, Corn (Maize), Jatropha, Rice, Soya Beans
Benin;G-group;;Biofuels, Food crops, Renewable Energy;Intended (Under negotiation);;Sugar Cane
Côte d'Ivoire;SIFCA, Nauvu;Côte d'Ivoire, Singapore;Agriunspecified;[2008] Concluded (Contract signed);39361;Oil Palm
Côte d'Ivoire;Jatroci;Côte d'Ivoire;Biofuels;Concluded (Contract signed);200;Jatropha
Cameroon;Shaanxi Overseas Investment and Development Co Ltd;China;Food crops;[2005] Concluded (Contract signed);120;Cassava (Maniok), Corn (Maize), Fruit, Grains, Rice, Vegetables
Cameroon;Somdiaa, Government of Cameroon;France, Cameroon;Biofuels, Food crops, Renewable Energy;[2006] Concluded (Contract signed);11980;Sugar Cane
Cameroon;Sime Darby;Malaysia;Agriunspecified;[2012] Failed (Negotiations failed);;Oil Palm
Cameroon;SOCFIN, Government of Cameroon;Luxembourg, Cameroon;Agriunspecified;[2000] Concluded (Contract signed);63763;Oil Palm, Rubber
Cameroon;Cameroon Development Corporation;Cameroon;Agriunspecified, Food crops, Non-food agricultural commodities;[2009] Concluded (Contract signed);41000;Banana, Oil Palm, Rubber
Cameroon;Herakles Capital;United States of America;Agriunspecified, For wood and fibre;[2013] Concluded (Contract signed);19843;Oil Palm
Congo;ENI, Government of the Republic of Congo;Italy, Congo;Agriunspecified;[2009] Intended (Under negotiation);;Oil Palm
Congo;Eco Oil Energy, Government of the Republic of Congo;Malaysia, Congo;Agriunspecified, Biofuels, Food crops, Non-food agricultural commodities;[2013] Concluded (Contract signed);50000;Oil Palm
Congo;Wah Seong, Silvermark Resources Inc, Giant Dragon Group;Malaysia, British Virgin Islands;Agriunspecified, Biofuels, For wood and fibre, Renewable Energy;[2010] Concluded (Contract signed);470000;Oil Palm
Congo;Agri SA;South Africa;Biofuels, Food crops, Livestock, Renewable Energy;[2013] Concluded (Contract signed);50000;Cereals (no specification), Rice, Soya Beans, Sugar Cane, Wheat
Egypt;Al Dahra Agricultural Company, Government of Egypt, Government of the United Arab Emirates;United Arab Emirates, Egypt;Food crops;Concluded (Contract signed);40000;Wheat
Egypt;Jenaan Investment;United Arab Emirates;Food crops;[2003] Concluded (Contract signed);20000;Dill, Alfalfa, Corn (Maize), Potatoes, Wheat
Egypt;Janan;United Arab Emirates;Food crops, Non-food agricultural commodities;[2009] Concluded (Contract signed);42000;Fodder Plants, Corn (Maize), Wheat
Egypt;Kobebussan;Japan;Food crops;[2010] Concluded (Contract signed);3000;Potatoes, Vegetables
Egypt;Al Rajhi Group;Saudi Arabia;Food crops, Non-food agricultural commodities;[2008] Concluded (Contract signed);42000;Barley, Alfalfa, Corn (Maize), Wheat
Ethiopia;Petropalm LLC;United States of America;Agriunspecified, Biofuels;[2012] Intended (Under negotiation);;Oil Seeds, Castor Oil Plant, Jatropha
Ethiopia;Athanor Equities, Acazis AG;Luxembourg, Germany;Biofuels, Food crops;[2007] Concluded (Contract signed);3800;Peanut
Ethiopia;Prime Minister;Djibouti;Food crops;[2008] Concluded (Contract signed);10000;Wheat
Ethiopia;Hiber Sugar Share Company;Ethiopia;Biofuels, Food crops, Renewable Energy;[2012] Concluded (Contract signed);6183;Sugar Cane
Ethiopia;Latteno Food Corp;Canada;Food crops;[2007] Concluded (Contract signed);5000;Coffee Plant
Ethiopia;National Bank of Egypt (NBE);Egypt;Biofuels, Food crops, Renewable Energy;Failed (Negotiations failed);;Cereals (no specification), Sugar Cane, Wheat
Ethiopia;I.D.C Investment, Unnamed investor 164;Denmark, Ethiopia;Biofuels;[2007] Concluded (Contract signed);15000;Jatropha
Ethiopia;Ambasel Trading Organization;Ethiopia;Biofuels;Concluded (Contract signed);10000;Jatropha
Ethiopia;Jatropha Biofuels Agro-Industry;Ethiopia;Biofuels;Concluded (Contract signed);100000;Jatropha
Ethiopia;Sun Biofuels, National Biodiesel Corporation;United Kingdom of Great Britain and Northern Ireland, Ethiopia;Biofuels;Concluded (Contract signed);80000;Jatropha
Ethiopia;Bharat Herbals & OIls (BHO);India;Food crops, Non-food agricultural commodities;[2010] Concluded (Contract signed);27000;Cereals (no specification), Cotton, Corn (Maize), Rice
Ethiopia;Emami Group;India;Biofuels, Food crops;[2012] Failed (Contract canceled);80000;Sun Flower, Jatropha
Ethiopia;Karuturi Global Ltd.;India;Agriunspecified, Biofuels, Food crops, Renewable Energy;[2016] Failed (Contract canceled);1200;Corn (Maize), Oil Palm, Rice, Sugar Cane
Ethiopia;Karuturi Global Ltd.;India;Agriunspecified, Biofuels, Food crops, Renewable Energy;Concluded (Contract signed);11000;Corn (Maize), Oil Palm, Rice, Sugar Cane, Vegetables
Ethiopia;Neha International;India;Food crops;[2009] Concluded (Contract signed);4000;Rice
Ethiopia;Punjab farmer association;India;Food crops;Intended (Under negotiation);;Corn (Maize), Cotton, Oil Palm, Oil Seeds, Pulses, Sugar Cane
Ethiopia;Sannati Group;India;Food crops;[2010] Concluded (Contract signed);10000;Pulses, Cereals (no specification), Rice
Ethiopia;Ruchi Soya Industries;India;Food crops;[2010] Concluded (Contract signed);25000;Pulses, Corn (Maize), Soya Beans
Ethiopia;Vatic International Business PLC, n/a;India, Ethiopia;Biofuels;Intended (Under negotiation);;Jatropha
Ethiopia;Presaco Investments Ltd;Cyprus;Biofuels;[2010] Failed (Contract canceled);0;Castor Oil Plant
Ethiopia;Fri-El Green Power;Italy;Agriunspecified, Biofuels, Food crops;[2007] Concluded (Contract signed);30000;Corn (Maize), Jatropha, Oil Palm, Soya Beans, Sugar Cane
Ethiopia;MIDROC Group;Saudi Arabia;Food crops, For wood and fibre;[2000] Concluded (Contract signed);3847;Tea, Eucalyptus
Ethiopia;MIDROC Group, Jemal Ahmed;Saudi Arabia, Ethiopia;Agriunspecified, Biofuels, Food crops, Non-food agricultural commodities;[2007] Concluded (Contract signed);250000;Tea, Jatropha, Oil Palm, Rubber
Ethiopia;MIDROC Group, Jemal Ahmed;Saudi Arabia, Ethiopia;Agriunspecified, Food crops;[2012] Concluded (Contract signed);20000;Peanut, Oil Palm
Ethiopia;MIDROC Group;Saudi Arabia;Biofuels, Food crops, Renewable Energy;[2010] Concluded (Contract signed);14000;Cotton, Sun Flower, Teff, Corn (Maize), Rice, Sugar Cane
Ethiopia;Olam International Ltd.;Singapore;Food crops;[2011] Concluded (Contract signed);5000;Coffee Plant
Ethiopia;MIDROC Group;Saudi Arabia;Food crops, Non-food agricultural commodities;[2012] Concluded (Contract signed);3000;Bean, Rice
Ethiopia;Ardent Energy Group, Praj Industries Ltd;United States of America, India;Biofuels;[2010] Concluded (Contract signed);200;Jatropha
Ethiopia;Africa Ethiopia Biomass Energy PLC;China;Biofuels;[2006] Concluded (Contract signed);2000;
Ethiopia;Eco energy ;Ethiopia;Biofuels;[2009] Concluded (Contract signed);;Castor Oil Plant, Jatropha
Ethiopia;Etan Biofuels;Ethiopia;Biofuels;[2007] Intended (Under negotiation);;
Ethiopia;Getachew Mulgeta;Ethiopia;Biofuels;[2008] Concluded (Contract signed);25000;
Ethiopia;Green Energy PLC;Ethiopia;Biofuels;Intended (Under negotiation);;
Ethiopia;Omo Sheleko Agro Industry;Ethiopia;Agriunspecified, Food crops, Non-food agricultural commodities;[2005] Concluded (Contract signed);5500;Cotton, Banana, Oil Palm
Ethiopia;Yosef Ayalew;Ethiopia;Biofuels;Intended (Under negotiation);;
Ethiopia;Cohen Brothers Ltd.;Israel;Food crops;[2007] Concluded (Contract signed);10000;Tomatoes
Ethiopia;Agropeace Bio;Israel;Biofuels, Food crops, Non-food agricultural commodities;[2012] Concluded (Contract signed);2000;Peanut, Cotton, Castor Oil Plant, Soya Beans
Ethiopia;Hovev Agriculture;Israel;Biofuels;Intended (Under negotiation);;Jatropha
Ethiopia;Yehuda Hayun;Israel;Biofuels, Food crops;[2007] Concluded (Contract signed);10000;Tomatoes, Jatropha
Ethiopia;Bio Massive;Sweden;Biofuels;Intended (Under negotiation);;
Ethiopia;Joshua Flowers;United States of America;Non-food agricultural commodities;[2005] Concluded (Contract signed);20000;Roses
Ethiopia;Adventure Ethiopia, Unnamed investor 176, Unnamed investor 177;China, South Africa, Ethiopia;Biofuels;[2007] Intended (Under negotiation);;Oleagionous plant
Ethiopia;Ertale Bio Diesel PLC, Unnamed investor 178;United Kingdom of Great Britain and Northern Ireland, Ethiopia;Biofuels;[2007] Concluded (Contract signed);50000;
Ethiopia;Global Natural Resources Holding AG, Unnamed investor 180, Unnamed investor 181;Switzerland, Benin;Food crops, Non-food agricultural commodities;[2011] Failed (Negotiations failed);;Flowers, Vegetables
Ethiopia;African Climate Exchange PLC, Unnamed investor 183;United States of America, Ethiopia;Biofuels;[2005] Intended (Under negotiation);;
Ethiopia;J.M.B.O Biofuel Production ;United States of America;Biofuels;Intended (Under negotiation);;
Ethiopia;Morrell Agro Industries PLC;United States of America;Food crops;[2008] Concluded (Contract signed);10000;Seed Production
Ethiopia;A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188;South Africa, China, Ethiopia;Biofuels;Failed (Negotiations failed);;
Ethiopia;F.E.P.E Amero Bio-Oil ;Cyprus;Biofuels;Intended (Under negotiation);;Oleagionous plant
Ethiopia;Sara Cotton Fibers Ltd;India;Non-food agricultural commodities;[2010] Concluded (Contract signed);10000;Cotton
Ethiopia;Verdanta Harvests Private Ltd.;India;Food crops;[2010] Concluded (Contract signed);3012;Tea, Coffee Plant, Eucalyptus
Ethiopia;Shapoorji Pallonji & Co. Ltd;India;Biofuels, Food crops;[2010] Concluded (Contract signed);50000;Oil Seeds, Pongamia Pinnata
Ethiopia;Ethiopian Sugar Corporation;Ethiopia;Biofuels, Food crops, Renewable Energy;[2012] Concluded (Contract signed);28000;Sugar Cane
Ethiopia;Longping High-Tech, Ershisanye Construction Group;China;Biofuels, Food crops, Renewable Energy;[2010] Concluded (Contract signed);25000;Sugar Cane
Ethiopia;CLC Spentex;India;Non-food agricultural commodities;[2012] Failed (Contract canceled);25000;Cotton
Ethiopia;Chadha Agro Plc;India;Biofuels, Food crops, Renewable Energy;[2013] Failed (Contract canceled);22000;Sugar Cane
Ethiopia;Elva NederlandLtd ;Netherlands;Biofuels;[2008] Concluded (Contract signed);2500;Jatropha
Ethiopia;Kooy Bioflow B.V., Mekiya Agri Mechanization Service PLC;Netherlands, Ethiopia;Biofuels;Concluded (Contract signed);200;Jatropha
Ethiopia;Afriflora, KKR & Co. L.P.;Netherlands, United States of America;Non-food agricultural commodities;[2005] Concluded (Contract signed);703;Flowers
Ghana;Temasek Life Sciences Laboratory Limited;Singapore;Biofuels;[2011] Concluded (Contract signed);6750;Jatropha
Ghana;Galten Global Alternative Energy;Israel;Biofuels;[2008] Concluded (Contract signed);100000;Jatropha
Ghana;Hazel Mercantile Ltd. ;India;Biofuels;[2011] Concluded (Contract signed);4360;Jatropha
Ghana;Constran S/A, Sekab;Brazil, Sweden;Biofuels, Food crops, Renewable Energy;Concluded (Contract signed);8495;Sugar Cane
Ghana;Kimminic Corp.;Canada;Biofuels;[2007] Concluded (Contract signed);13000;Corn (Maize), Jatropha, Peanut, Soya Beans
Ghana;Bionic Group;United States of America;Agriunspecified, Biofuels, Food crops, Livestock;[2009] Concluded (Contract signed);1750;Sun Flower, Jatropha, Oil Palm
Ghana;Jatropha Africa, Ohene Akoto;United Kingdom of Great Britain and Northern Ireland, Ghana;Biofuels;Concluded (Contract signed);50000;Jatropha
Ghana;Gold Star Farms;United States of America;Biofuels;[2005] Concluded (Contract signed);5766;Jatropha
Ghana;Prairie Texas, Government of Ghana, Ghana Commercial Bank;United States of America, Ghana;Food crops;[2003] Concluded (Contract signed);2150;Rice
Ghana;Global Green , Osei Bonsu;Netherlands, Ghana;For wood and fibre;Intended (Under negotiation);;Teak
Guinea;Farm Lands of Guinea Limited;United Kingdom of Great Britain and Northern Ireland;Food crops;[2010] Concluded (Contract signed);8815;Corn (Maize), Soya Beans
Guinea;Farm Lands of Guinea Limited;United Kingdom of Great Britain and Northern Ireland;Food crops;[2010] Intended (Under negotiation);;Corn (Maize), Soya Beans
Guinea;Farm Lands of Guinea Limited;United Kingdom of Great Britain and Northern Ireland;Food crops;[2010] Intended (Under negotiation);;Corn (Maize), Soya Beans
Kenya;HG Consulting;Belgium;Biofuels, Food crops, Industry, Renewable Energy;Failed (Contract canceled);1000;Sugar Cane
Kenya;Bedford Biofuels;Canada;Biofuels, Food crops, Livestock;[2009] Concluded (Contract signed);160000;Food crops (no specification), Jatropha
Kenya;G4;United Kingdom of Great Britain and Northern Ireland;Biofuels, Food crops;[2011] Failed (Negotiations failed);;Castor Oil Plant, Sun Flower, Vegetables
Kenya;Qalaa Holdings;Egypt;Food crops, Livestock;[2010] Failed (Negotiations failed);;Rice, Wheat
Kenya;Biwako Bio-Laboratory, Hydronet Energy Company ;Japan;Biofuels;[2007] Intended (Expression of interest);;Jatropha
Kenya;Mumias Sugar;Kenya;Biofuels, Food crops, Renewable Energy;[2007] Concluded (Contract signed);16000;Sugar Cane
